tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
0.3,8280000.0,False,2773.0,1733.1250000000002,66787.0,6.0,True,-0.9714962916888658,0.10678339104156512,77.5,12.4056438768812,A13,d916f34
0.3,8280200.0,False,2753.0,1720.6250000000002,60565.0,4.0,True,-0.6252280937347224,0.23701285747843967,77.33333333333333,15.807171368295677,A13,d916f34
0.3,8280400.0,False,2702.0,1688.7500000000002,61502.0,8.0,True,-0.8193311444083988,0.15158940753736447,78.66666666666667,7.420691791650335,A13,d916f34
0.3,8280600.0,False,2684.0,1677.5000000000002,62989.0,5.0,True,-0.642793204352686,0.22761810095332619,66.33333333333333,9.39503414930817,A13,d916f34
0.3,8280800.0,False,2780.0,1737.5000000000002,65610.0,12.0,True,-0.7825881080767724,0.1649726276931636,81.0,10.0,A13,d916f34
0.3,8281000.0,False,2691.0,1681.8750000000002,60252.0,1.0,True,-0.6776421728702408,0.2100669970370846,73.66666666666667,7.393691004272944,A13,d916f34
0.3,8281200.0,False,2684.0,1677.5000000000002,60698.0,3.0,True,-0.7638886560784195,0.17223100822721943,73.5,15.083103128998356,A13,d916f34
0.3,8281400.0,False,2805.0,1753.1250000000002,64876.0,6.0,True,-0.8180481239353351,0.15203790480225787,71.33333333333333,6.65331997326648,A13,d916f34
0.3,8281600.0,False,2710.0,1693.7500000000002,61597.0,6.0,True,-0.753383970861801,0.1764477111502308,85.66666666666667,14.023789311975086,A13,d916f34
0.3,8281800.0,False,2724.0,1702.5000000000002,63496.0,2.0,True,-0.6694131965195198,0.21408527813958755,70.33333333333333,7.2571803523590805,A13,d916f34
0.3,8282000.0,False,2801.0,1750.6250000000002,66064.0,10.0,True,-0.8482329262232994,0.14182966391536875,76.33333333333333,13.321661558028962,A13,d916f34
0.3,8282200.0,False,2669.0,1668.1250000000002,59730.0,0.0,True,-0.7992715837493155,0.15875536698601012,77.5,10.232301793829187,A13,d916f34
0.3,8282400.0,False,2648.0,1655.0000000000002,59349.0,6.0,True,-0.9253682233478132,0.11874949643650654,76.83333333333333,11.321071798494463,A13,d916f34
0.3,8282600.0,False,2809.0,1755.6250000000002,67206.0,1.0,True,-0.7366201932301037,0.18339175507698952,78.66666666666667,8.824209124146293,A13,d916f34
0.3,8282800.0,False,2706.0,1691.2500000000002,61368.0,0.0,True,-0.9445564097434176,0.11361707128750032,68.16666666666667,9.579491983746667,A13,d916f34
0.3,8283000.0,False,2736.0,1710.0000000000002,63044.0,0.0,True,-0.6608914964006355,0.21832753105283947,79.5,12.469963913339926,A13,d916f34
0.3,8283200.0,False,2637.0,1648.1250000000002,60109.0,8.0,True,-0.8303245789796445,0.1478003358851855,72.66666666666667,20.61714496885218,A13,d916f34
0.3,8283400.0,False,2652.0,1657.5000000000002,58200.0,8.0,True,-0.6366622206051593,0.23085419956702974,73.0,6.06630035524124,A13,d916f34
0.3,8283600.0,False,2699.0,1686.8750000000002,60940.0,3.0,True,-0.6020988387915127,0.24997763860250594,65.0,10.545141061171254,A13,d916f34
0.3,8283800.0,False,2735.0,1709.3750000000002,62036.0,11.0,True,-0.7385538528309717,0.18257703381906004,73.0,12.712198865656562,A13,d916f34
