arm,n,start,chain_seed,sample_index,code_version,const_chain_count,const_min_chain_len,const_max_targets,const_min_targets,const_train_c,const_heldout_c,status,n_targets,min_chain_len,heldout,null_gap,truth,G
S-scaled,900.0,uniform,1129.0,9.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,37.0,0.06666666666666667,0.22750000000000004,0.205078378028242,0.8333333333333334
S-scaled,900.0,uniform,1130.0,10.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,37.0,0.050833333333333335,0.20916666666666667,0.134835801674179,0.9916666666666667
S-scaled,900.0,uniform,1131.0,11.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,36.0,0.034166666666666665,0.26,0.145800933125972,1.0
S-scaled,900.0,uniform,1132.0,12.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,37.0,0.049166666666666664,0.2616666666666667,0.13976963892843278,1.0
S-scaled,900.0,uniform,1133.0,13.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,38.0,0.04583333333333333,0.24666666666666665,0.13814512999611953,1.0
S-scaled,900.0,uniform,1134.0,14.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,36.0,0.0525,0.25916666666666666,0.18546301086394207,0.9750000000000001
S-scaled,900.0,uniform,1135.0,15.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,39.0,0.04666666666666667,0.24166666666666667,0.14791908259244943,1.0
S-scaled,900.0,uniform,1136.0,16.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,36.0,0.050833333333333335,0.18416666666666665,0.13211198555025158,0.9916666666666667
S-scaled,900.0,uniform,1137.0,17.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,38.0,0.06666666666666667,0.22250000000000003,0.178096345085884,0.8333333333333334
S-scaled,900.0,uniform,1138.0,18.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,35.0,0.05583333333333333,0.20916666666666667,0.17137695186475674,0.9416666666666667
S-scaled,900.0,uniform,1139.0,19.0,0ec729f,6.0,31.0,66.0,30.0,4500.0,1200.0,ok,66.0,37.0,0.065,0.22666666666666668,0.19793681495809157,0.8500000000000001
S-scaled,1200.0,uniform,1140.0,0.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,45.0,0.05375,0.299375,0.19296225207933462,0.9625
S-scaled,1200.0,uniform,1141.0,1.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.059375,0.22625,0.16058394160583941,0.90625
S-scaled,1200.0,uniform,1142.0,2.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,45.0,0.06375,0.18687499999999999,0.19744081893793985,0.8625
S-scaled,1200.0,uniform,1143.0,3.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.06,0.226875,0.1811668372569089,0.9000000000000001
S-scaled,1200.0,uniform,1144.0,4.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,43.0,0.05375,0.250625,0.23187108325872874,0.9203222918531782
S-scaled,1200.0,uniform,1145.0,5.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,47.0,0.060625,0.22312500000000002,0.2458365359979503,0.8854086600051243
S-scaled,1200.0,uniform,1146.0,6.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,45.0,0.055625,0.18687499999999999,0.13242067553735926,0.9437500000000001
S-scaled,1200.0,uniform,1147.0,7.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.065625,0.215625,0.18510937699884866,0.84375
S-scaled,1200.0,uniform,1148.0,8.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,47.0,0.05125,0.2525,0.19155218898446527,0.9875
S-scaled,1200.0,uniform,1149.0,9.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.068125,0.18125000000000002,0.17321725771348098,0.81875
S-scaled,1200.0,uniform,1150.0,10.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.0575,0.17375000000000002,0.21913422131147542,0.925
S-scaled,1200.0,uniform,1151.0,11.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,45.0,0.065,0.2025,0.20481619059818112,0.8500000000000001
S-scaled,1200.0,uniform,1152.0,12.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,43.0,0.065,0.1525,0.2209973080374311,0.8500000000000001
S-scaled,1200.0,uniform,1153.0,13.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.06375,0.196875,0.1802481770500192,0.8625
S-scaled,1200.0,uniform,1154.0,14.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,42.0,0.044375,0.1975,0.21390237669307438,0.9652440582673141
S-scaled,1200.0,uniform,1155.0,15.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,43.0,0.043125,0.25625,0.16946115448611287,1.0
S-scaled,1200.0,uniform,1156.0,16.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,45.0,0.0475,0.21187500000000004,0.1905250994992939,1.0
S-scaled,1200.0,uniform,1157.0,17.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.045625,0.264375,0.17859420844495472,1.0
S-scaled,1200.0,uniform,1158.0,18.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,44.0,0.055,0.263125,0.1908974358974359,0.95
S-scaled,1200.0,uniform,1159.0,19.0,0ec729f,6.0,35.0,88.0,40.0,6000.0,1600.0,ok,88.0,43.0,0.060625,0.198125,0.18214422953759446,0.89375
