diagnostic,roc_auc,median_rho_epsilon,min_rho_epsilon,max_rho_epsilon,median_rho_truth,min_rho_truth,max_rho_truth,h_lag_false_pass_fraction,h_lag_false_pass_count,h_lag_cell_count
instrument_margin,0.9934494101633394,0.9761904761904763,0.9047619047619048,1.0,0.9761904761904763,0.9047619047619048,1.0,,,
mm_distance,0.93880444646098,0.011904761904761911,-0.4523809523809524,0.8571428571428572,0.0,-0.38095238095238104,0.9285714285714287,0.9259259259259259,25,27
abundance_distance,0.9325657894736842,0.7857142857142858,0.7619047619047621,0.8571428571428573,0.8095238095238096,0.7619047619047621,0.8928571428571429,0.0,0,27
height_distance,0.9667649727767695,0.9940297973880049,0.9518763181059627,1.0,0.9761904761904763,0.9157291161525718,1.0,0.0,0,27
