beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
24.0,2,bipartite,700202,0,0.011607666666666667,intermediate,4507002,88768.0,17734.0,20265.0,14889.0,2.0161395969796274,12.0,-96.29268085273011
24.0,2,bipartite,700202,1,0.011607666666666667,intermediate,4507002,88765.0,16693.0,17593.0,16905.0,2.016184579626753,10.0,-95.71793154134048
24.0,2,bipartite,700202,2,0.011607666666666667,intermediate,4507002,88911.0,18134.0,18560.0,15512.0,2.013996931531489,10.0,-95.80412938486003
24.0,2,bipartite,700202,3,0.011607666666666667,intermediate,4507002,88768.0,17240.0,20009.0,16190.0,2.0161395969796274,9.0,-96.57014546281549
24.0,2,bipartite,700202,4,0.011607666666666667,intermediate,4507002,88832.0,17552.0,20307.0,17089.0,2.0151802769603098,11.0,-97.65299852493703
24.0,2,bipartite,700202,5,0.011607666666666667,intermediate,4507002,88821.0,18929.0,18086.0,15641.0,2.0153451179883,9.0,-97.17398034358321
24.0,2,bipartite,700202,6,0.011607666666666667,intermediate,4507002,88859.0,16337.0,20103.0,16709.0,2.0147757412024827,10.0,-96.63580480830014
24.0,2,bipartite,700202,7,0.011607666666666667,intermediate,4507002,88914.0,14999.0,17441.0,15433.0,2.0139520120950545,9.0,-94.47483237134364
24.0,2,bipartite,700202,8,0.011607666666666667,intermediate,4507002,88997.0,14540.0,16150.0,17384.0,2.0127097548672053,11.0,-94.14776662050629
24.0,2,bipartite,700202,9,0.011607666666666667,intermediate,4507002,88989.0,15223.0,18084.0,15667.0,2.0128294473374,11.0,-94.74823400035264
24.0,2,bipartite,700202,10,0.011607666666666667,intermediate,4507002,88957.0,15479.0,18907.0,15982.0,2.0133083092752297,11.0,-94.96359754342204
24.0,2,bipartite,700202,11,0.011607666666666667,intermediate,4507002,89128.0,15558.0,16958.0,15348.0,2.0107510985065,13.0,-95.03215568368086
24.0,2,bipartite,700202,12,0.011607666666666667,intermediate,4507002,88998.0,16827.0,17096.0,15425.0,2.0126947939555,10.0,-95.6535367219093
24.0,2,bipartite,700202,13,0.011607666666666667,intermediate,4507002,88937.0,15406.0,19800.0,13545.0,2.013607672817745,11.0,-94.84021772602343
24.0,2,bipartite,700202,14,0.011607666666666667,intermediate,4507002,88721.0,14018.0,17927.0,16953.0,2.016844474649961,11.0,-94.65741089591063
24.0,2,bipartite,700202,15,0.011607666666666667,intermediate,4507002,88736.0,15528.0,19152.0,16840.0,2.0166194789758407,10.0,-96.43215378885796
24.0,2,bipartite,700202,16,0.011607666666666667,intermediate,4507002,88863.0,16959.0,18122.0,15445.0,2.0147158189242456,11.0,-96.53334383055768
24.0,2,bipartite,700202,17,0.011607666666666667,intermediate,4507002,88855.0,14901.0,16840.0,15545.0,2.0148356657887287,10.0,-95.10286319012582
24.0,2,bipartite,700202,18,0.011607666666666667,intermediate,4507002,88907.0,15810.0,17211.0,13986.0,2.014056826130467,10.0,-94.92872853440615
24.0,2,bipartite,700202,19,0.011607666666666667,intermediate,4507002,88979.0,14035.0,16556.0,16286.0,2.0129790758684436,11.0,-94.23503496117881
24.0,2,bipartite,700202,20,0.011607666666666667,intermediate,4507002,88923.0,17664.0,18323.0,15616.0,2.0138172615648937,10.0,-96.03541303872467
24.0,2,bipartite,700202,21,0.011607666666666667,intermediate,4507002,88974.0,14066.0,18635.0,16378.0,2.0130538955279755,10.0,-94.90765825339729
24.0,2,bipartite,700202,22,0.011607666666666667,intermediate,4507002,88961.0,16272.0,17946.0,15427.0,2.013248443475746,11.0,-95.1794277047126
24.0,2,bipartite,700202,23,0.011607666666666667,intermediate,4507002,88930.0,16355.0,16045.0,15510.0,2.013712463663051,12.0,-94.52837144901432
24.0,2,bipartite,700202,24,0.011607666666666667,intermediate,4507002,88942.0,14899.0,18694.0,15332.0,2.013532826533644,11.0,-94.6662705195765
24.0,2,bipartite,700202,25,0.011607666666666667,intermediate,4507002,88866.0,15235.0,18728.0,15279.0,2.0146708787300707,10.0,-95.29711485864176
24.0,2,bipartite,700202,26,0.011607666666666667,intermediate,4507002,88893.0,17378.0,18235.0,15863.0,2.014266475383465,10.0,-96.00532227323005
24.0,2,bipartite,700202,27,0.011607666666666667,intermediate,4507002,88913.0,17420.0,19056.0,13591.0,2.013966985096464,12.0,-94.78881773473037
24.0,2,bipartite,700202,28,0.011607666666666667,intermediate,4507002,88967.0,14167.0,19072.0,16244.0,2.013158649093649,10.0,-94.56713778192545
