beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
28.0,0,random,928000,0,0.060838333333333335,intermediate,644e87b,113983.0,13576.0,13073.0,10660.0,1.6764929885595254,20.0,-67.87767215478173
28.0,0,random,928000,1,0.060838333333333335,intermediate,644e87b,116439.0,12041.0,14441.0,11291.0,1.6467927484651148,20.0,-68.58016615650267
28.0,0,random,928000,2,0.060838333333333335,intermediate,644e87b,113512.0,12715.0,12901.0,11385.0,1.6822463056702048,20.0,-67.77817613034642
28.0,0,random,928000,3,0.060838333333333335,intermediate,644e87b,114353.0,11882.0,12685.0,11599.0,1.6719865634640128,22.0,-66.96298929093602
28.0,0,random,928000,4,0.060838333333333335,intermediate,644e87b,114949.0,11243.0,12439.0,10836.0,1.6647516974599372,23.0,-66.44024607034139
28.0,0,random,928000,5,0.060838333333333335,intermediate,644e87b,114641.0,10466.0,12105.0,11087.0,1.6684868187050697,21.0,-66.37669227818203
28.0,0,random,928000,6,0.060838333333333335,intermediate,644e87b,113150.0,11672.0,12709.0,11226.0,1.6866810352403192,21.0,-66.56017335964499
28.0,0,random,928000,7,0.060838333333333335,intermediate,644e87b,114691.0,11408.0,12713.0,11725.0,1.6678799306488035,22.0,-66.72107443957323
28.0,0,random,928000,8,0.060838333333333335,intermediate,644e87b,113732.0,11810.0,13853.0,10729.0,1.679556635427172,22.0,-67.19485612902324
28.0,0,random,928000,9,0.060838333333333335,intermediate,644e87b,115636.0,12878.0,13383.0,11224.0,1.6564487286126983,22.0,-69.39689788073393
28.0,0,random,928000,10,0.060838333333333335,intermediate,644e87b,113522.0,11694.0,13524.0,11285.0,1.6821239584482992,23.0,-67.34631672472389
28.0,0,random,928000,11,0.060838333333333335,intermediate,644e87b,114539.0,11472.0,12612.0,11397.0,1.6697255177123278,21.0,-67.035540073304
28.0,0,random,928000,12,0.060838333333333335,intermediate,644e87b,114059.0,10218.0,12022.0,11431.0,1.6755664024741543,21.0,-67.57021335445853
28.0,0,random,928000,13,0.060838333333333335,intermediate,644e87b,114198.0,11586.0,12630.0,11191.0,1.6738729865038362,22.0,-67.56570469253661
28.0,0,random,928000,14,0.060838333333333335,intermediate,644e87b,113528.0,12423.0,12365.0,11561.0,1.682050554211303,21.0,-67.69552371411444
28.0,0,random,928000,15,0.060838333333333335,intermediate,644e87b,114215.0,11914.0,13192.0,11226.0,1.6736659898264064,20.0,-68.95299603035367
28.0,0,random,928000,16,0.060838333333333335,intermediate,644e87b,115078.0,11693.0,14378.0,12120.0,1.66318965393903,22.0,-69.74881041801419
28.0,0,random,928000,17,0.060838333333333335,intermediate,644e87b,113754.0,11688.0,12925.0,12004.0,1.6792878949205905,21.0,-69.90186480285439
28.0,0,random,928000,18,0.060838333333333335,intermediate,644e87b,114654.0,13006.0,13747.0,11514.0,1.6683290077412503,20.0,-70.99264268877802
28.0,0,random,928000,19,0.060838333333333335,intermediate,644e87b,112964.0,13122.0,14502.0,12863.0,1.6889640290743841,20.0,-69.8573272199412
28.0,0,random,928000,20,0.060838333333333335,intermediate,644e87b,113762.0,11573.0,13076.0,10950.0,1.6791901812944738,21.0,-68.14640378486857
28.0,0,random,928000,21,0.060838333333333335,intermediate,644e87b,113545.0,12774.0,12447.0,11579.0,1.6818425922194749,22.0,-68.5594676477737
28.0,0,random,928000,22,0.060838333333333335,intermediate,644e87b,115208.0,11624.0,12921.0,10684.0,1.66161689501567,21.0,-68.43893585524276
28.0,0,random,928000,23,0.060838333333333335,intermediate,644e87b,114190.0,11238.0,12503.0,10337.0,1.6739704051254147,22.0,-67.85696298399907
28.0,0,random,928000,24,0.060838333333333335,intermediate,644e87b,114033.0,11916.0,12986.0,11352.0,1.675883337528707,21.0,-68.41520951832128
28.0,0,random,928000,25,0.060838333333333335,intermediate,644e87b,112470.0,11684.0,12922.0,11198.0,1.6950419847927547,20.0,-68.97102373081498
28.0,0,random,928000,26,0.060838333333333335,intermediate,644e87b,112850.0,12164.0,12720.0,10803.0,1.6903647579958547,21.0,-69.5762055128305
