beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
14.0,0,random,914000,0,0.8631906666666667,continuum,644e87b,ok,44.0,26.0,0.04125,0.235,0.11977386273994214,1.0
14.0,0,random,914000,24,0.8631906666666667,continuum,644e87b,ok,44.0,28.0,0.045,0.16999999999999998,0.09806247528667457,1.0
14.0,0,random,914000,47,0.8631906666666667,continuum,644e87b,ok,44.0,28.0,0.0325,0.19875,0.13307138179436803,1.0
