beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
14.0,1,random,914001,0,0.863225,continuum,644e87b,ok,44.0,27.0,0.055,0.24,0.18980392156862744,0.95
14.0,1,random,914001,24,0.863225,continuum,644e87b,ok,44.0,27.0,0.02,0.3,0.13263570961412688,1.0
14.0,1,random,914001,47,0.863225,continuum,644e87b,ok,44.0,26.0,0.03,0.23,0.11563197269982937,1.0
