source,condition,reference_group,seed,beta,sample,label,status,heldout,null_gap,truth,instrument_margin,acceptance,code_version,R,n0,n1,n2,mm_dim,height,S
P5,beta=2,orders_n600,102.0,2.0,0.0,1.0,ok,0.02875,0.21625,0.15838590956887486,0.6040352260778129,0.9785106666666666,79ca113,89253.0,2976.0,2413.0,2070.0,2.008884445235269,45.0,2.3517738041743
P5,beta=2,orders_n600,102.0,2.0,1.0,1.0,ok,0.03375,0.22999999999999998,0.14278228975635315,0.6430442756091171,0.9785106666666666,79ca113,90187.0,3003.0,2500.0,2167.0,1.995007055780988,43.0,2.026877438170345
P5,beta=2,orders_n600,102.0,2.0,2.0,1.0,ok,0.02875,0.2025,0.14349657714586625,0.6412585571353343,0.9785106666666666,79ca113,90826.0,3051.0,2409.0,2086.0,1.9855832339558663,43.0,1.9688947360453106
