source,condition,reference_group,seed,beta,sample,label,status,heldout,null_gap,truth,instrument_margin,acceptance,code_version,R,n0,n1,n2,mm_dim,height,S
P5,beta=32,orders_n600,101.0,32.0,0.0,0.0,structural_block: only 0 chains,,,,-5.0,0.005508,79ca113,90224.0,27361.0,25259.0,15080.0,1.9944598389532526,8.0,-106.07954286216045
P5,beta=32,orders_n600,101.0,32.0,1.0,0.0,structural_block: only 0 chains,,,,-5.0,0.005508,79ca113,90074.0,28965.0,23884.0,14917.0,1.9966794715482958,8.0,-106.78432688344256
