beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
12.0,1,random,700001,0,0.88246,continuum,4507002,86249.0,3021.0,2394.0,2150.0,2.0543773398394283,42.0,1.2727627808519095
12.0,1,random,700001,1,0.88246,continuum,4507002,86117.0,2997.0,2499.0,2086.0,2.0564074128962533,43.0,1.5850968461236157
12.0,1,random,700001,2,0.88246,continuum,4507002,85661.0,3057.0,2424.0,2150.0,2.063441085886737,42.0,1.3523137744588247
12.0,1,random,700001,3,0.88246,continuum,4507002,88062.0,2963.0,2453.0,2154.0,2.0267615867530466,44.0,1.3914100458886018
12.0,1,random,700001,4,0.88246,continuum,4507002,84242.0,3083.0,2343.0,2097.0,2.0855374638642337,43.0,1.110429753466434
12.0,1,random,700001,5,0.88246,continuum,4507002,83466.0,3063.0,2446.0,2100.0,2.0977576942329748,41.0,0.9862097465820909
12.0,1,random,700001,6,0.88246,continuum,4507002,84287.0,3084.0,2461.0,2150.0,2.0848318107623243,42.0,0.9465557368219457
12.0,1,random,700001,7,0.88246,continuum,4507002,84567.0,3111.0,2480.0,2147.0,2.0804483894186614,40.0,0.7461207871528934
12.0,1,random,700001,8,0.88246,continuum,4507002,85302.0,2987.0,2427.0,2189.0,2.0690013144589035,45.0,1.2621445297499498
12.0,1,random,700001,9,0.88246,continuum,4507002,87996.0,3025.0,2507.0,2252.0,2.027758303009806,41.0,1.0095683612483377
12.0,1,random,700001,10,0.88246,continuum,4507002,84897.0,3109.0,2421.0,2094.0,2.0752982965242692,40.0,1.1399442057480194
12.0,1,random,700001,11,0.88246,continuum,4507002,86897.0,3031.0,2459.0,2175.0,2.044450150889217,46.0,1.1092521482903877
12.0,1,random,700001,12,0.88246,continuum,4507002,83794.0,3054.0,2471.0,2157.0,2.0925804846765566,43.0,1.0231818378207507
12.0,1,random,700001,13,0.88246,continuum,4507002,84754.0,3173.0,2414.0,2161.0,2.0775278751661546,42.0,1.1295689436223064
