beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
28.0,1,random,928001,0,0.049724,intermediate,644e87b,116344.0,10471.0,12243.0,11199.0,1.6479323855630703,22.0,-66.50280942033787
28.0,1,random,928001,1,0.049724,intermediate,644e87b,114190.0,11359.0,11236.0,10953.0,1.6739704051254147,20.0,-67.05076166629166
28.0,1,random,928001,2,0.049724,intermediate,644e87b,113825.0,10267.0,12308.0,11153.0,1.6784208763723978,21.0,-66.87494905198272
28.0,1,random,928001,3,0.049724,intermediate,644e87b,113868.0,11334.0,12605.0,10850.0,1.6778959885827298,19.0,-67.7292635990636
28.0,1,random,928001,4,0.049724,intermediate,644e87b,114618.0,9578.0,11914.0,11345.0,1.6687660572818022,22.0,-66.63670534978978
28.0,1,random,928001,5,0.049724,intermediate,644e87b,112826.0,11178.0,12769.0,10303.0,1.690659791406281,24.0,-65.7164305066827
28.0,1,random,928001,6,0.049724,intermediate,644e87b,115593.0,10943.0,13549.0,10681.0,1.6569672804734523,22.0,-67.57451540975362
28.0,1,random,928001,7,0.049724,intermediate,644e87b,113003.0,11631.0,14098.0,10845.0,1.6884850898717545,21.0,-66.720579708783
28.0,1,random,928001,8,0.049724,intermediate,644e87b,116462.0,11377.0,13544.0,10962.0,1.6465169457619764,20.0,-67.90903505890854
28.0,1,random,928001,9,0.049724,intermediate,644e87b,113382.0,11024.0,12586.0,10667.0,1.6838375968599237,23.0,-66.11916840011017
28.0,1,random,928001,10,0.049724,intermediate,644e87b,114412.0,11736.0,13493.0,11726.0,1.6712690359956275,21.0,-67.6982645834525
28.0,1,random,928001,11,0.049724,intermediate,644e87b,116162.0,12081.0,12370.0,11036.0,1.6501177271099818,20.0,-67.89332609315689
28.0,1,random,928001,12,0.049724,intermediate,644e87b,115067.0,12012.0,12564.0,11076.0,1.6633227976804212,19.0,-68.92568420976968
28.0,1,random,928001,13,0.049724,intermediate,644e87b,114548.0,11235.0,13703.0,12372.0,1.669616185759403,21.0,-68.83983664707836
28.0,1,random,928001,14,0.049724,intermediate,644e87b,115236.0,12251.0,12997.0,11172.0,1.6612783296893188,20.0,-68.53699383969528
28.0,1,random,928001,15,0.049724,intermediate,644e87b,114374.0,12352.0,14110.0,10899.0,1.671731138851058,24.0,-68.94421462304457
28.0,1,random,928001,16,0.049724,intermediate,644e87b,116815.0,13512.0,12141.0,11185.0,1.6422893095464124,21.0,-70.04533603822694
28.0,1,random,928001,17,0.049724,intermediate,644e87b,116321.0,11652.0,13681.0,11376.0,1.6482084072388399,20.0,-70.00884144901296
28.0,1,random,928001,18,0.049724,intermediate,644e87b,115983.0,11399.0,12362.0,11572.0,1.65226966495577,22.0,-68.19464716238276
28.0,1,random,928001,19,0.049724,intermediate,644e87b,114314.0,11737.0,12780.0,12083.0,1.6724610216971758,21.0,-68.70506724451357
28.0,1,random,928001,20,0.049724,intermediate,644e87b,114224.0,12189.0,12040.0,11929.0,1.6735564131998402,21.0,-68.07269328515046
28.0,1,random,928001,21,0.049724,intermediate,644e87b,114724.0,11670.0,12779.0,11733.0,1.6674794987612587,20.0,-69.15926308747328
28.0,1,random,928001,22,0.049724,intermediate,644e87b,113816.0,13423.0,13541.0,10803.0,1.678530756452706,19.0,-69.77429808509618
28.0,1,random,928001,23,0.049724,intermediate,644e87b,117337.0,13058.0,13470.0,12560.0,1.6360559328699846,20.0,-70.92778723635541
