stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,column_shuffled,ok,2.0,3.0436174543463643,4000.0,1000.0,0.06975,0.104,0.03424999999999999,0.16343096234309623,nan,nan
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,column_shuffled,ok,3.0,3.0436174543463643,4000.0,1000.0,0.04475,0.087,0.042249999999999996,0.14347280334728035,nan,nan
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,structured,ok,1.0,5.279872596090122,4000.0,1000.0,0.0135,0.028,0.0145,0.1261447562776957,0.09032462057335582,0.488
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,structured,ok,2.0,5.279872596090122,4000.0,1000.0,0.0165,0.032,0.0155,0.1345009495674193,0.09148397976391232,0.567
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,structured,ok,3.0,5.279872596090122,4000.0,1000.0,0.0155,0.051,0.0355,0.14100021101498206,0.10096964586846544,0.499
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,column_shuffled,ok,1.0,2.803029413337719,4000.0,1000.0,0.20025,0.21,0.009749999999999981,0.058071323063937544,nan,nan
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,column_shuffled,ok,2.0,2.803029413337719,4000.0,1000.0,0.09425,0.09,-0.004250000000000004,0.15716395864106353,nan,nan
B,104.0,b77f588,c8a8de56678a9c99,d7a626e99124a593,7e6b9e1240510b20,104.0,40.0,column_shuffled,ok,3.0,2.803029413337719,4000.0,1000.0,0.06475,0.071,0.006249999999999992,0.13732855032707325,nan,nan
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,structured,ok,1.0,5.671151311079311,4000.0,1000.0,0.01475,0.024,0.009250000000000001,0.1224273286653936,0.10804549283909014,0.496
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,structured,ok,2.0,5.671151311079311,4000.0,1000.0,0.0185,0.028,0.009500000000000001,0.12790154890727773,0.10751895534962089,0.512
