beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,G
28.0,0,random,928000,0,0.060838333333333335,intermediate,644e87b,structural_block: only 0 chains,0.0
28.0,0,random,928000,24,0.060838333333333335,intermediate,644e87b,structural_block: only 0 chains,0.0
28.0,0,random,928000,47,0.060838333333333335,intermediate,644e87b,structural_block: only 0 chains,0.0
