beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
20.0,0,random,920000,0,0.803535,continuum,644e87b,ok,44.0,25.0,0.05375,0.24250000000000002,0.1551047120418848,0.9625
20.0,0,random,920000,24,0.803535,continuum,644e87b,ok,44.0,27.0,0.02375,0.21125,0.1027218005757655,1.0
20.0,0,random,920000,47,0.803535,continuum,644e87b,ok,44.0,26.0,0.0375,0.24250000000000002,0.11595156620163201,1.0
