acc,beta,chain_S,heldout,min_chain_len,n_targets,null_gap,sample,seed,status,truth
0.97844,2.0,1.7369267939824269,0.025,29.0,44.0,0.22624999999999998,0,100,ok,0.14006300866369126
0.97844,2.0,1.7369267939824269,0.0375,29.0,44.0,0.20875,1,100,ok,0.13422642500656684
0.97844,2.0,1.7369267939824269,0.04,26.0,44.0,0.1725,2,100,ok,0.17796498617875478
0.9785443333333333,2.0,2.115265478706706,0.03125,28.0,44.0,0.26125,0,101,ok,0.11695983197689683
0.9785443333333333,2.0,2.115265478706706,0.02,29.0,44.0,0.2525,1,101,ok,0.12342602308499476
0.9785443333333333,2.0,2.115265478706706,0.04375,29.0,44.0,0.26125,2,101,ok,0.13866701584391777
0.9785106666666666,2.0,2.1158486594633197,0.02875,31.0,44.0,0.21625,0,102,ok,0.15838590956887486
0.9785106666666666,2.0,2.1158486594633197,0.03375,27.0,44.0,0.22999999999999998,1,102,ok,0.14278228975635315
0.9785106666666666,2.0,2.1158486594633197,0.02875,28.0,44.0,0.2025,2,102,ok,0.14349657714586625
0.005682,32.0,-106.07357738764136,0,100,structural_block: only 0 chains
0.005682,32.0,-106.07357738764136,1,100,structural_block: only 0 chains
0.005508,32.0,-106.43193487280149,0,101,structural_block: only 0 chains
0.005508,32.0,-106.43193487280149,1,101,structural_block: only 0 chains
0.9204886666666666,8.0,1.6380187899074354,0.0325,27.0,44.0,0.22124999999999997,0,100,ok,0.11930101169360137
0.9204886666666666,8.0,1.6380187899074354,0.04,30.0,44.0,0.3125,1,100,ok,0.13381483913328956
0.9204886666666666,8.0,1.6380187899074354,0.03,27.0,44.0,0.24125,2,100,ok,0.11983144587832499
0.9201093333333333,8.0,1.581999474208163,0.03375,26.0,44.0,0.2475,0,101,ok,0.13234327769746354
0.9201093333333333,8.0,1.581999474208163,0.04625,27.0,44.0,0.23624999999999996,1,101,ok,0.1740327868852459
0.9201093333333333,8.0,1.581999474208163,0.05125,29.0,44.0,0.27125,2,101,ok,0.1430817610062893
0.920454,8.0,1.6158460618549917,0.03875,26.0,44.0,0.22749999999999998,0,102,ok,0.1330263157894737
0.920454,8.0,1.6158460618549917,0.0175,26.0,44.0,0.23874999999999996,1,102,ok,0.09849377865094958
0.920454,8.0,1.6158460618549917,0.06625,26.0,44.0,0.22374999999999998,2,102,ok,0.21662933192779021
