source,condition,reference_group,seed,beta,sample,label,status,heldout,null_gap,truth,instrument_margin,acceptance,code_version,R,n0,n1,n2,mm_dim,height,S
P5,beta=8,orders_n600,102.0,8.0,0.0,1.0,ok,0.03875,0.22749999999999998,0.1330263157894737,0.6125,0.920454,79ca113,85391.0,3140.0,2385.0,2139.0,2.0676209936885686,43.0,1.3319391206080553
P5,beta=8,orders_n600,102.0,8.0,1.0,1.0,ok,0.0175,0.23874999999999996,0.09849377865094958,0.7537655533726262,0.920454,79ca113,89854.0,3013.0,2444.0,2189.0,1.9999406429380304,45.0,1.8109796221328835
P5,beta=8,orders_n600,102.0,8.0,2.0,1.0,ok,0.06625,0.22374999999999998,0.21662933192779021,0.3375,0.920454,79ca113,88953.0,2921.0,2409.0,2181.0,2.01336817737743,47.0,1.7046194428240362
