beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,G
20.0,2,bipartite,920002,0,0.018349,intermediate,644e87b,structural_block: only 0 chains,0.0
20.0,2,bipartite,920002,24,0.018349,intermediate,644e87b,structural_block: only 0 chains,0.0
20.0,2,bipartite,920002,47,0.018349,intermediate,644e87b,structural_block: only 0 chains,0.0
