beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,G
22.0,2,bipartite,922002,0,0.014005,intermediate,644e87b,structural_block: only 0 chains,0.0
22.0,2,bipartite,922002,24,0.014005,intermediate,644e87b,structural_block: only 0 chains,0.0
22.0,2,bipartite,922002,47,0.014005,intermediate,644e87b,structural_block: only 0 chains,0.0
