source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density
P1,epsilon=0.9,p1_scene,303.0,625352.0,3577.0,5654.0,7210.0,1.8128268834321668,102.0,ba90aa8,0.9,0.0,ok,0.189,0.5041339834640661,-2.7800000000000002,0.5752426157426571
P1,epsilon=1,p1_scene,303.0,609417.0,3679.0,5720.0,7220.0,1.847944949863658,101.0,ba90aa8,1.0,0.0,ok,0.247,0.5005299978800085,-3.94,0.5605844854706515
P1,epsilon=0,p1_scene,304.0,609877.0,7287.0,6237.0,6063.0,1.8469206184394444,114.0,ba90aa8,0.0,1.0,ok,0.02,0.10110352075669994,0.325976528288667,0.5610076257232479
P1,epsilon=0.15,p1_scene,304.0,618636.0,6153.0,6913.0,6962.0,1.8275368290151448,111.0,ba90aa8,0.15,1.0,ok,0.045,0.12485549132947976,0.10000000000000009,0.5690647680547507
P1,epsilon=0.3,p1_scene,304.0,623269.0,5109.0,6979.0,7569.0,1.8173752877956337,109.0,ba90aa8,0.3,,ok,0.045,0.1488176563321072,0.007882291119285328,0.5733265262944872
P1,epsilon=0.45,p1_scene,304.0,613778.0,4117.0,6296.0,7545.0,1.8382594401762198,108.0,ba90aa8,0.45,,ok,0.049,0.18192327903310562,-0.2128218602207042,0.5645960390392877
P1,epsilon=0.6,p1_scene,304.0,609566.0,3554.0,5748.0,7491.0,1.847613085487028,106.0,ba90aa8,0.6,,ok,0.117,0.26967592592592593,-1.34,0.5607215461176882
P1,epsilon=0.75,p1_scene,304.0,613703.0,3428.0,5568.0,7422.0,1.838425528991733,103.0,ba90aa8,0.75,,ok,0.219,0.43667937314697164,-3.3799999999999994,0.5645270487807121
P1,epsilon=0.9,p1_scene,304.0,595222.0,3482.0,5446.0,7050.0,1.879874397507765,100.0,ba90aa8,0.9,0.0,ok,0.254,0.5066978524346162,-4.08,0.5475269291975973
P1,epsilon=1,p1_scene,304.0,604776.0,3743.0,5837.0,7355.0,1.8583155609683075,101.0,ba90aa8,1.0,0.0,ok,0.291,0.49591858369553693,-4.819999999999999,0.5563153682700003
P1,epsilon=0,p1_scene,305.0,611540.0,7272.0,6329.0,6030.0,1.8432227637820109,113.0,ba90aa8,0.0,1.0,ok,0.023,0.09838133277275594,0.344124448181627,0.5625373697233951
P1,epsilon=0.15,p1_scene,305.0,622185.0,6067.0,7041.0,7099.0,1.8197472368407572,113.0,ba90aa8,0.15,1.0,ok,0.035,0.12728610468782847,0.15142596874781017,0.5723293870905428
P1,epsilon=0.3,p1_scene,305.0,629262.0,5042.0,7072.0,7881.0,1.8043225489868933,111.0,ba90aa8,0.3,,ok,0.035,0.1559806600798823,-0.03987106719921529,0.5788393078897259
P1,epsilon=0.45,p1_scene,305.0,612343.0,4085.0,6325.0,7700.0,1.8414401862940846,108.0,ba90aa8,0.45,,ok,0.042,0.2190126050420168,-0.4600840336134454,0.5632760254252099
P1,epsilon=0.6,p1_scene,305.0,613811.0,3501.0,5682.0,7417.0,1.838186366408829,105.0,ba90aa8,0.6,,ok,0.162,0.37714104461831255,-2.2399999999999998,0.5646263947530609
P1,epsilon=0.75,p1_scene,305.0,610797.0,3423.0,5596.0,7303.0,1.8448738725475322,100.0,ba90aa8,0.75,,ok,0.276,0.4792768027067033,-4.5200000000000005,0.5618539062284406
P1,epsilon=0.9,p1_scene,305.0,620986.0,3601.0,5733.0,7326.0,1.822374784941438,100.0,ba90aa8,0.9,0.0,ok,0.259,0.4887202192705039,-4.18,0.5712264628234494
P1,epsilon=1,p1_scene,305.0,609540.0,3715.0,5718.0,7148.0,1.8476709898696297,98.0,ba90aa8,1.0,0.0,ok,0.256,0.47591948572030773,-4.12,0.5606976294947154
P1,epsilon=0,p1_scene,306.0,616363.0,7254.0,6300.0,5973.0,1.8325451294722814,115.0,ba90aa8,0.0,1.0,ok,0.029,0.0878577441077441,0.4142817059483726,0.5669739032848562
P1,epsilon=0.15,p1_scene,306.0,622830.0,6132.0,7068.0,6914.0,1.8183354743858793,112.0,ba90aa8,0.15,1.0,ok,0.028,0.12110690235690236,0.19262065095398426,0.5729227033142921
P1,epsilon=0.3,p1_scene,306.0,615672.0,5125.0,7066.0,7654.0,1.8340706897128571,111.0,ba90aa8,0.3,,ok,0.025,0.16077441077441076,-0.07182940516273847,0.5663382730358474
P1,epsilon=0.45,p1_scene,306.0,607364.0,4141.0,6232.0,7511.0,1.8525244066967823,110.0,ba90aa8,0.45,,ok,0.049,0.2342113614725484,-0.561409076483656,0.5586959921259118
P1,epsilon=0.6,p1_scene,306.0,613405.0,3492.0,5588.0,7350.0,1.839085620949982,106.0,ba90aa8,0.6,,ok,0.051,0.311964897260274,-1.07976598173516,0.5642529274866389
P1,epsilon=0.75,p1_scene,306.0,610642.0,3386.0,5459.0,7118.0,1.845218525956673,103.0,ba90aa8,0.75,,invalid: epsilon=0.75: only 29 eligible targets,,,-5.0,0.5617113263607179
P1,epsilon=0.9,p1_scene,306.0,621977.0,3566.0,5618.0,7212.0,1.8202027595386614,101.0,ba90aa8,0.9,0.0,ok,0.276,0.5341077085533263,-4.5200000000000005,0.5721380541067601
P1,epsilon=1,p1_scene,306.0,635004.0,3681.0,5634.0,7176.0,1.791911698057831,99.0,ba90aa8,1.0,0.0,ok,0.281,0.5003156565656566,-4.62,0.5841212020862654
P1,epsilon=0,p1_scene,307.0,630398.0,7417.0,6289.0,6011.0,1.8018598471792133,114.0,ba90aa8,0.0,1.0,ok,0.014,0.10703363914373089,0.28644240570846075,0.579884280339616
