beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
22.0,1,random,922001,0,0.7834516666666667,continuum,644e87b,86522.0,3119.0,2507.0,2241.0,2.0501872540155937,41.0,0.3556795517883202
22.0,1,random,922001,1,0.7834516666666667,continuum,644e87b,86116.0,3130.0,2490.0,2126.0,2.056422802464688,40.0,0.535560926285374
22.0,1,random,922001,2,0.7834516666666667,continuum,644e87b,80561.0,3127.0,2555.0,2120.0,2.144398755594846,40.0,0.131348439002128
22.0,1,random,922001,3,0.7834516666666667,continuum,644e87b,83967.0,3108.0,2467.0,2087.0,2.0898568912201387,43.0,0.7461113494800031
22.0,1,random,922001,4,0.7834516666666667,continuum,644e87b,83539.0,3126.0,2380.0,2123.0,2.0966039258683757,40.0,0.7574280539235048
22.0,1,random,922001,5,0.7834516666666667,continuum,644e87b,81985.0,3045.0,2417.0,2120.0,2.1213561765243227,42.0,0.4380342354750546
22.0,1,random,922001,6,0.7834516666666667,continuum,644e87b,84793.0,3027.0,2492.0,2242.0,2.0769194860453393,39.0,0.7674186089273576
22.0,1,random,922001,7,0.7834516666666667,continuum,644e87b,81456.0,3070.0,2418.0,2130.0,2.1298752278670445,38.0,0.8009614716038556
22.0,1,random,922001,8,0.7834516666666667,continuum,644e87b,81460.0,3261.0,2453.0,2170.0,2.1298106310866567,38.0,0.559083011517
22.0,1,random,922001,9,0.7834516666666667,continuum,644e87b,82816.0,3182.0,2394.0,2227.0,2.1080697491176927,38.0,0.4438897458926405
22.0,1,random,922001,10,0.7834516666666667,continuum,644e87b,82523.0,3063.0,2575.0,2142.0,2.1127410956860055,41.0,0.5349738787240348
22.0,1,random,922001,11,0.7834516666666667,continuum,644e87b,82567.0,3104.0,2422.0,2182.0,2.1120386781348444,38.0,0.16822050785083675
22.0,1,random,922001,12,0.7834516666666667,continuum,644e87b,80080.0,3042.0,2412.0,2116.0,2.1522623944609123,42.0,0.8763663659668524
22.0,1,random,922001,13,0.7834516666666667,continuum,644e87b,82989.0,3089.0,2420.0,2193.0,2.105318316364121,40.0,0.7153747667451889
22.0,1,random,922001,14,0.7834516666666667,continuum,644e87b,81966.0,3133.0,2376.0,2182.0,2.121661324384254,39.0,0.5594123737223455
22.0,1,random,922001,15,0.7834516666666667,continuum,644e87b,84871.0,3116.0,2512.0,2122.0,2.0757034329483695,41.0,0.7119401945672585
22.0,1,random,922001,16,0.7834516666666667,continuum,644e87b,78323.0,3100.0,2442.0,2164.0,2.1813422639580606,36.0,0.4847350980144718
22.0,1,random,922001,17,0.7834516666666667,continuum,644e87b,85138.0,3227.0,2497.0,2190.0,2.071548086266815,42.0,0.6492054590388392
22.0,1,random,922001,18,0.7834516666666667,continuum,644e87b,82931.0,3091.0,2472.0,2106.0,2.1062402067401127,43.0,0.49206599045987076
22.0,1,random,922001,19,0.7834516666666667,continuum,644e87b,87088.0,3030.0,2378.0,2199.0,2.041536232530852,45.0,1.631350969794262
22.0,1,random,922001,20,0.7834516666666667,continuum,644e87b,83118.0,3223.0,2493.0,2143.0,2.1032699082684676,41.0,0.4570886490211308
22.0,1,random,922001,21,0.7834516666666667,continuum,644e87b,78216.0,2929.0,2543.0,2136.0,2.1831316070067253,39.0,0.08102365572096559
22.0,1,random,922001,22,0.7834516666666667,continuum,644e87b,83606.0,2987.0,2512.0,2148.0,2.095545756678826,41.0,0.6989900002807943
22.0,1,random,922001,23,0.7834516666666667,continuum,644e87b,83235.0,3088.0,2565.0,2159.0,2.1014144339178165,40.0,0.3279389814121565
22.0,1,random,922001,24,0.7834516666666667,continuum,644e87b,84029.0,3073.0,2431.0,2229.0,2.088881988526177,43.0,0.7546340149572046
22.0,1,random,922001,25,0.7834516666666667,continuum,644e87b,84080.0,3111.0,2437.0,2203.0,2.088080519195664,42.0,0.8462831988646684
22.0,1,random,922001,26,0.7834516666666667,continuum,644e87b,83793.0,3174.0,2535.0,2231.0,2.0925962421443716,44.0,0.5862853360572231
22.0,1,random,922001,27,0.7834516666666667,continuum,644e87b,82632.0,3179.0,2479.0,2090.0,2.1110016106653253,36.0,0.9183897107023142
22.0,1,random,922001,28,0.7834516666666667,continuum,644e87b,83815.0,2958.0,2484.0,2226.0,2.0922496154780807,40.0,0.745108230287503
22.0,1,random,922001,29,0.7834516666666667,continuum,644e87b,81303.0,3070.0,2408.0,2126.0,2.1323481313935666,43.0,0.9124251091074775
22.0,1,random,922001,30,0.7834516666666667,continuum,644e87b,85663.0,3190.0,2556.0,2165.0,2.0634101660363635,42.0,0.25508402166440547
22.0,1,random,922001,31,0.7834516666666667,continuum,644e87b,85013.0,3229.0,2486.0,2204.0,2.073492069785691,40.0,0.5343459417303187
22.0,1,random,922001,32,0.7834516666666667,continuum,644e87b,80984.0,3095.0,2457.0,2125.0,2.137517123794609,41.0,0.3177866428210798
22.0,1,random,922001,33,0.7834516666666667,continuum,644e87b,84514.0,3233.0,2475.0,2097.0,2.0812771442781806,40.0,0.47597636886550987
22.0,1,random,922001,34,0.7834516666666667,continuum,644e87b,85677.0,3231.0,2427.0,2142.0,2.06319374451453,41.0,0.7185910753580025
22.0,1,random,922001,35,0.7834516666666667,continuum,644e87b,76117.0,3089.0,2441.0,2110.0,2.218675068840593,36.0,0.5850973149429173
22.0,1,random,922001,36,0.7834516666666667,continuum,644e87b,83174.0,3164.0,2519.0,2183.0,2.1023815354495072,39.0,0.3242213574380024
22.0,1,random,922001,37,0.7834516666666667,continuum,644e87b,85736.0,3112.0,2452.0,2157.0,2.0622820173378225,41.0,0.857869532046923
22.0,1,random,922001,38,0.7834516666666667,continuum,644e87b,84600.0,3026.0,2468.0,2162.0,2.0799325991033335,43.0,0.7447010239399887
22.0,1,random,922001,39,0.7834516666666667,continuum,644e87b,85092.0,3084.0,2458.0,2188.0,2.072263185373517,39.0,0.8180836051979661
22.0,1,random,922001,40,0.7834516666666667,continuum,644e87b,82845.0,3089.0,2472.0,2182.0,2.107608178380291,40.0,0.43046690611952343
22.0,1,random,922001,41,0.7834516666666667,continuum,644e87b,85638.0,3137.0,2479.0,2225.0,2.0637967089242686,40.0,0.42211111062003326
22.0,1,random,922001,42,0.7834516666666667,continuum,644e87b,82450.0,3055.0,2455.0,2209.0,2.1139071884066043,40.0,0.6458865816873676
22.0,1,random,922001,43,0.7834516666666667,continuum,644e87b,80710.0,3119.0,2473.0,2185.0,2.1419711406723527,41.0,0.5617098598728454
22.0,1,random,922001,44,0.7834516666666667,continuum,644e87b,84126.0,3022.0,2443.0,2205.0,2.0873579862054497,38.0,0.7276940453029184
22.0,1,random,922001,45,0.7834516666666667,continuum,644e87b,85808.0,3099.0,2445.0,2169.0,2.0611701337835706,39.0,0.758385518276107
22.0,1,random,922001,46,0.7834516666666667,continuum,644e87b,80796.0,3105.0,2448.0,2116.0,2.140571746241811,40.0,0.5468213476231796
22.0,1,random,922001,47,0.7834516666666667,continuum,644e87b,76667.0,3112.0,2501.0,2115.0,2.209279069552867,35.0,0.24356534388448026
