beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,G
28.0,2,bipartite,928002,0,0.008496666666666666,intermediate,644e87b,structural_block: only 0 chains,0.0
28.0,2,bipartite,928002,24,0.008496666666666666,intermediate,644e87b,structural_block: only 0 chains,0.0
28.0,2,bipartite,928002,47,0.008496666666666666,intermediate,644e87b,structural_block: only 0 chains,0.0
