source,condition,reference_group,seed,beta,sample,label,status,heldout,null_gap,truth,instrument_margin,acceptance,code_version,R,n0,n1,n2,mm_dim,height,S
P5,beta=8,orders_n600,100.0,8.0,0.0,1.0,ok,0.0325,0.22124999999999997,0.11930101169360137,0.675,0.9204886666666666,79ca113,87735.0,3093.0,2381.0,2139.0,2.0317061543458674,44.0,1.761422247457844
P5,beta=8,orders_n600,100.0,8.0,1.0,1.0,ok,0.04,0.3125,0.13381483913328956,0.6,0.9204886666666666,79ca113,88727.0,3042.0,2389.0,2153.0,2.0167544724735667,42.0,1.612163795706092
P5,beta=8,orders_n600,100.0,8.0,2.0,1.0,ok,0.03,0.24125,0.11983144587832499,0.7000000000000001,0.9204886666666666,79ca113,87899.0,3055.0,2442.0,2134.0,2.029224337917819,43.0,1.5404703265583635
