beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
28.0,2,bipartite,928002,0,0.008496666666666666,intermediate,644e87b,89804.0,21906.0,21643.0,16077.0,2.0006827683637605,8.0,-101.91881692254856
28.0,2,bipartite,928002,1,0.008496666666666666,intermediate,644e87b,89827.0,21337.0,21695.0,15081.0,2.0003413468793303,9.0,-101.2736907664076
28.0,2,bipartite,928002,2,0.008496666666666666,intermediate,644e87b,89731.0,21543.0,22864.0,15347.0,2.0017669050926443,9.0,-102.8042209376644
28.0,2,bipartite,928002,3,0.008496666666666666,intermediate,644e87b,89763.0,23051.0,22509.0,16128.0,2.0012915744273716,8.0,-102.75154558924645
28.0,2,bipartite,928002,4,0.008496666666666666,intermediate,644e87b,89807.0,21835.0,21159.0,15201.0,2.0006382308943387,9.0,-101.54951465171213
28.0,2,bipartite,928002,5,0.008496666666666666,intermediate,644e87b,89812.0,22408.0,19618.0,17249.0,2.0005640046005126,9.0,-101.67222562030622
28.0,2,bipartite,928002,6,0.008496666666666666,intermediate,644e87b,89719.0,23745.0,22377.0,15206.0,2.001945191401493,8.0,-102.68816260213961
28.0,2,bipartite,928002,7,0.008496666666666666,intermediate,644e87b,89737.0,20678.0,19948.0,15104.0,2.001677769571219,8.0,-101.02133678530663
28.0,2,bipartite,928002,8,0.008496666666666666,intermediate,644e87b,89609.0,21556.0,20465.0,15979.0,2.0035804319781647,8.0,-102.22924494063925
28.0,2,bipartite,928002,9,0.008496666666666666,intermediate,644e87b,89622.0,22176.0,20322.0,14444.0,2.0033870869874644,8.0,-101.2521785540331
28.0,2,bipartite,928002,10,0.008496666666666666,intermediate,644e87b,89654.0,20602.0,21733.0,15720.0,2.002911262868315,10.0,-101.12569018899285
28.0,2,bipartite,928002,11,0.008496666666666666,intermediate,644e87b,89606.0,21084.0,22199.0,14605.0,2.003625053454602,9.0,-101.097508835008
28.0,2,bipartite,928002,12,0.008496666666666666,intermediate,644e87b,89599.0,18719.0,21241.0,16261.0,2.003729175194592,10.0,-100.10270223596876
28.0,2,bipartite,928002,13,0.008496666666666666,intermediate,644e87b,89477.0,20012.0,21028.0,17164.0,2.0055449850384512,8.0,-101.82017254624125
28.0,2,bipartite,928002,14,0.008496666666666666,intermediate,644e87b,89497.0,21271.0,21380.0,16790.0,2.005247166426596,8.0,-101.69435313603233
28.0,2,bipartite,928002,15,0.008496666666666666,intermediate,644e87b,89454.0,22659.0,21188.0,16156.0,2.0058875467532378,8.0,-102.02950883382256
28.0,2,bipartite,928002,16,0.008496666666666666,intermediate,644e87b,89455.0,22287.0,19826.0,15101.0,2.005872651201078,9.0,-101.21754601724098
28.0,2,bipartite,928002,17,0.008496666666666666,intermediate,644e87b,89353.0,24650.0,19175.0,17736.0,2.0073927308682533,8.0,-102.77035701955168
28.0,2,bipartite,928002,18,0.008496666666666666,intermediate,644e87b,89352.0,23514.0,23055.0,14417.0,2.0074076409479478,9.0,-102.90033433235875
28.0,2,bipartite,928002,19,0.008496666666666666,intermediate,644e87b,89404.0,21967.0,22014.0,15819.0,2.0066325058107957,8.0,-101.70133999838649
28.0,2,bipartite,928002,20,0.008496666666666666,intermediate,644e87b,89363.0,22029.0,21870.0,16881.0,2.0072436379134686,9.0,-101.88566175157703
28.0,2,bipartite,928002,21,0.008496666666666666,intermediate,644e87b,89339.0,21133.0,22432.0,17273.0,2.007601484961582,8.0,-101.76897511089808
28.0,2,bipartite,928002,22,0.008496666666666666,intermediate,644e87b,89411.0,18904.0,23024.0,18411.0,2.0065281901172476,9.0,-101.76106366718892
28.0,2,bipartite,928002,23,0.008496666666666666,intermediate,644e87b,89493.0,21787.0,21991.0,15830.0,2.0053067256003807,9.0,-101.03786500107078
28.0,2,bipartite,928002,24,0.008496666666666666,intermediate,644e87b,89492.0,21098.0,22793.0,14713.0,2.0053216157491427,9.0,-100.62139804387132
28.0,2,bipartite,928002,25,0.008496666666666666,intermediate,644e87b,89445.0,21042.0,20634.0,15723.0,2.0060216131247355,9.0,-100.57659960317889
28.0,2,bipartite,928002,26,0.008496666666666666,intermediate,644e87b,89359.0,22587.0,21189.0,16555.0,2.007303273384461,9.0,-102.0584678821615
28.0,2,bipartite,928002,27,0.008496666666666666,intermediate,644e87b,89354.0,22110.0,20829.0,15598.0,2.007377820931154,8.0,-101.60554085505196
28.0,2,bipartite,928002,28,0.008496666666666666,intermediate,644e87b,89306.0,20600.0,22265.0,17495.0,2.008093658816101,9.0,-101.79101961167865
28.0,2,bipartite,928002,29,0.008496666666666666,intermediate,644e87b,89303.0,21065.0,21685.0,15372.0,2.008138409600538,9.0,-101.18131419962631
28.0,2,bipartite,928002,30,0.008496666666666666,intermediate,644e87b,89282.0,24209.0,22824.0,14300.0,2.008451701072401,8.0,-102.64968549408592
28.0,2,bipartite,928002,31,0.008496666666666666,intermediate,644e87b,89226.0,22744.0,23885.0,15772.0,2.009287453024726,8.0,-103.12619843370565
28.0,2,bipartite,928002,32,0.008496666666666666,intermediate,644e87b,89206.0,23970.0,23182.0,14158.0,2.0095860445278966,8.0,-102.88816656009458
28.0,2,bipartite,928002,33,0.008496666666666666,intermediate,644e87b,89164.0,24838.0,22379.0,15081.0,2.010213273012562,8.0,-102.93291540926025
28.0,2,bipartite,928002,34,0.008496666666666666,intermediate,644e87b,89216.0,23606.0,22660.0,15867.0,2.0094367416237535,8.0,-102.66329729421712
28.0,2,bipartite,928002,35,0.008496666666666666,intermediate,644e87b,89260.0,22615.0,21536.0,16276.0,2.008779978745334,8.0,-101.87452788631958
28.0,2,bipartite,928002,36,0.008496666666666666,intermediate,644e87b,89270.0,20785.0,20712.0,16714.0,2.0086307530491503,8.0,-101.15724463573434
28.0,2,bipartite,928002,37,0.008496666666666666,intermediate,644e87b,89255.0,18887.0,21130.0,16624.0,2.008854596952128,9.0,-100.78868255746247
28.0,2,bipartite,928002,38,0.008496666666666666,intermediate,644e87b,89203.0,19583.0,21677.0,17293.0,2.0096308381891355,9.0,-101.27941889576304
28.0,2,bipartite,928002,39,0.008496666666666666,intermediate,644e87b,89203.0,20384.0,21723.0,17141.0,2.0096308381891355,9.0,-101.94441791730081
28.0,2,bipartite,928002,40,0.008496666666666666,intermediate,644e87b,89199.0,20438.0,22804.0,16882.0,2.009690565074127,8.0,-101.90927582364392
28.0,2,bipartite,928002,41,0.008496666666666666,intermediate,644e87b,89242.0,22114.0,21598.0,15993.0,2.0090486210125853,8.0,-101.3839135972246
28.0,2,bipartite,928002,42,0.008496666666666666,intermediate,644e87b,89239.0,22527.0,22347.0,16026.0,2.0090933992266446,8.0,-102.39971512602062
28.0,2,bipartite,928002,43,0.008496666666666666,intermediate,644e87b,89309.0,21119.0,20359.0,16561.0,2.0080489093164218,9.0,-100.4068614984291
28.0,2,bipartite,928002,44,0.008496666666666666,intermediate,644e87b,89253.0,22424.0,21538.0,16255.0,2.008884445235269,8.0,-100.77827279661243
28.0,2,bipartite,928002,45,0.008496666666666666,intermediate,644e87b,89227.0,22677.0,20624.0,15944.0,2.0092725249514762,10.0,-100.71338903644889
28.0,2,bipartite,928002,46,0.008496666666666666,intermediate,644e87b,89115.0,23223.0,21099.0,16633.0,2.010945358915569,9.0,-101.66538194659388
28.0,2,bipartite,928002,47,0.008496666666666666,intermediate,644e87b,89031.0,23479.0,22137.0,15805.0,2.012201164510767,8.0,-102.48614566012897
