source,condition,reference_group,seed,beta,sample,label,status,heldout,null_gap,truth,instrument_margin,acceptance,code_version,R,n0,n1,n2,mm_dim,height,S
P5,beta=2,orders_n600,101.0,2.0,0.0,1.0,ok,0.03125,0.26125,0.11695983197689683,0.6875,0.9785443333333333,79ca113,93483.0,2979.0,2436.0,2117.0,1.946992732431509,46.0,2.266789296957615
P5,beta=2,orders_n600,101.0,2.0,1.0,1.0,ok,0.02,0.2525,0.12342602308499476,0.6914349422875132,0.9785443333333333,79ca113,90380.0,2955.0,2406.0,2030.0,1.9921547561902733,44.0,2.2771672097588116
P5,beta=2,orders_n600,101.0,2.0,2.0,1.0,ok,0.04375,0.26125,0.13866701584391777,0.5625,0.9785443333333333,79ca113,88945.0,2965.0,2451.0,2122.0,2.0134879204908547,46.0,1.801839929403691
