beta,chain,start,phase,acceptance,n_samples,instrument_valid,instrument_gate_pass,mean_S,iat_S,ess_S,mean_n0,iat_n0,ess_n0,mean_height,iat_height,ess_height
12.0,0,random,continuum,0.8821433333333333,48,3,3.0,1.342664746524031,1.0,48.0,3050.3958333333335,1.0,48.0,42.375,1.1918462291870715,40.27365177195686
12.0,1,random,continuum,0.88246,48,3,3.0,1.1842472194567353,1.1957289980537555,40.1428752485955,3044.0,1.0,48.0,42.0,1.0,48.0
12.0,2,bipartite,continuum,0.810019,48,3,3.0,1.2381058659702178,1.2718142544989037,37.74136028921303,3053.2291666666665,1.5111073469834797,31.764785007378276,41.958333333333336,1.0,48.0
16.0,0,random,continuum,0.8444723333333334,47,3,3.0,0.990231385851376,1.2401926552415414,37.89733780583165,3070.468085106383,2.5653554756960197,18.32104768531082,41.723404255319146,1.0,47.0
16.0,1,random,continuum,0.844449,48,3,3.0,1.0046269545504922,1.0,48.0,3078.5833333333335,1.1113469365969317,43.190833050731534,41.0625,1.0243785850860423,46.85767615492299
16.0,2,bipartite,continuum,0.19585166666666667,48,1,1.0,-25.67237554891814,17.864814967639767,2.6868456285131948,4037.4791666666665,15.14869930329964,3.1685888695107174,33.625,16.339818647206183,2.937609103036596
24.0,0,random,continuum,0.758436,48,3,3.0,0.37480341242323784,1.4222281430359986,33.74985949689863,3105.3958333333335,2.4784735499660093,19.366759028216496,40.145833333333336,1.2565279021187705,38.20050467567167
24.0,1,random,continuum,0.756039,48,3,3.0,0.4056211640553616,1.695366456765274,28.31246295363367,3116.0833333333335,1.2522900033472393,38.32977974087556,39.875,1.0,48.0
24.0,2,bipartite,intermediate,0.011607666666666667,48,0,0.0,-95.48751769463321,1.8650302641728413,25.73684777243465,16259.1875,2.4956375890246405,19.233561880577234,10.645833333333334,1.20938358377767,39.68964077556405
