beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
14.0,0,random,914000,0,0.8631906666666667,continuum,644e87b,79570.0,3087.0,2354.0,2072.0,2.160645346296583,42.0,1.1217376039290272
14.0,0,random,914000,1,0.8631906666666667,continuum,644e87b,85840.0,3099.0,2427.0,2114.0,2.0606762214893894,47.0,1.1463386700199898
14.0,0,random,914000,2,0.8631906666666667,continuum,644e87b,80802.0,3040.0,2469.0,2019.0,2.1404741625708805,39.0,1.0058938152456456
14.0,0,random,914000,3,0.8631906666666667,continuum,644e87b,84747.0,3099.0,2499.0,2147.0,2.077637098825136,40.0,0.8005966620360212
14.0,0,random,914000,4,0.8631906666666667,continuum,644e87b,83999.0,3031.0,2386.0,2216.0,2.089353637832316,40.0,1.0550364286421114
14.0,0,random,914000,5,0.8631906666666667,continuum,644e87b,86408.0,3174.0,2504.0,2073.0,2.0519355741320755,41.0,1.1597825947746827
14.0,0,random,914000,6,0.8631906666666667,continuum,644e87b,88713.0,3095.0,2509.0,2165.0,2.016964485656157,45.0,1.2173894639964438
14.0,0,random,914000,7,0.8631906666666667,continuum,644e87b,85080.0,3095.0,2487.0,2153.0,2.0724497878713803,42.0,0.9764797094838293
14.0,0,random,914000,8,0.8631906666666667,continuum,644e87b,85992.0,3100.0,2493.0,2106.0,2.0583323032888945,43.0,1.1297690415186032
14.0,0,random,914000,9,0.8631906666666667,continuum,644e87b,83430.0,3084.0,2493.0,2135.0,2.098326998017316,38.0,0.6855105059193818
14.0,0,random,914000,10,0.8631906666666667,continuum,644e87b,85738.0,3133.0,2358.0,2174.0,2.0622511208139205,44.0,0.8800053809064039
14.0,0,random,914000,11,0.8631906666666667,continuum,644e87b,83796.0,2968.0,2549.0,2127.0,2.0925489702296467,41.0,0.7811116734250341
14.0,0,random,914000,12,0.8631906666666667,continuum,644e87b,87940.0,3112.0,2464.0,2236.0,2.0286045044785705,42.0,0.8344013195598734
14.0,0,random,914000,13,0.8631906666666667,continuum,644e87b,81125.0,3024.0,2446.0,2109.0,2.1352302121402786,42.0,1.1020766399750883
14.0,0,random,914000,14,0.8631906666666667,continuum,644e87b,84134.0,3000.0,2472.0,2100.0,2.0872323632070717,41.0,1.1939153981585555
14.0,0,random,914000,15,0.8631906666666667,continuum,644e87b,86345.0,3158.0,2437.0,2119.0,2.05290260307385,41.0,1.08810620749124
14.0,0,random,914000,16,0.8631906666666667,continuum,644e87b,81517.0,3007.0,2365.0,2215.0,2.1288904270205062,40.0,1.0426818335261387
14.0,0,random,914000,17,0.8631906666666667,continuum,644e87b,85989.0,3093.0,2401.0,2159.0,2.0583785302772553,42.0,1.3215651927537095
14.0,0,random,914000,18,0.8631906666666667,continuum,644e87b,82699.0,3097.0,2422.0,2138.0,2.109933374841008,40.0,0.743790764183256
14.0,0,random,914000,19,0.8631906666666667,continuum,644e87b,88860.0,3066.0,2421.0,2157.0,2.0147607604165554,45.0,1.1404964194635738
14.0,0,random,914000,20,0.8631906666666667,continuum,644e87b,83509.0,3113.0,2405.0,2154.0,2.097077971422591,39.0,0.877998337952242
14.0,0,random,914000,21,0.8631906666666667,continuum,644e87b,87583.0,3079.0,2459.0,2135.0,2.0340099313821423,46.0,1.2588552704685867
14.0,0,random,914000,22,0.8631906666666667,continuum,644e87b,82834.0,3128.0,2376.0,2112.0,2.107783240419118,44.0,0.9608038198428055
14.0,0,random,914000,23,0.8631906666666667,continuum,644e87b,83252.0,3114.0,2452.0,2117.0,2.1011450233686375,42.0,0.6163913348515706
14.0,0,random,914000,24,0.8631906666666667,continuum,644e87b,87116.0,3138.0,2414.0,2128.0,2.0411095230224463,43.0,1.1111879761515873
14.0,0,random,914000,25,0.8631906666666667,continuum,644e87b,85461.0,3139.0,2406.0,2211.0,2.0665362201686968,41.0,1.1770845715124025
14.0,0,random,914000,26,0.8631906666666667,continuum,644e87b,89472.0,3109.0,2492.0,2099.0,2.0056194485768195,42.0,1.3381962959915477
14.0,0,random,914000,27,0.8631906666666667,continuum,644e87b,81387.0,3010.0,2453.0,2175.0,2.1309899574821554,37.0,0.7200106749837083
14.0,0,random,914000,28,0.8631906666666667,continuum,644e87b,82810.0,3122.0,2424.0,2056.0,2.1081652640328787,43.0,1.0222449962231224
14.0,0,random,914000,29,0.8631906666666667,continuum,644e87b,85206.0,2943.0,2488.0,2254.0,2.07049159414186,41.0,1.2048542778368017
14.0,0,random,914000,30,0.8631906666666667,continuum,644e87b,85877.0,3039.0,2508.0,2120.0,2.0601053332273835,40.0,1.0846105231213024
14.0,0,random,914000,31,0.8631906666666667,continuum,644e87b,83508.0,3044.0,2321.0,2195.0,2.0970937754833514,44.0,1.189755556323746
14.0,0,random,914000,32,0.8631906666666667,continuum,644e87b,86688.0,2927.0,2482.0,2085.0,2.0476449963147427,46.0,1.45023556679066
14.0,0,random,914000,33,0.8631906666666667,continuum,644e87b,86369.0,3077.0,2434.0,2152.0,2.052534139489808,40.0,1.043277951351861
14.0,0,random,914000,34,0.8631906666666667,continuum,644e87b,81417.0,3014.0,2475.0,2230.0,2.1305051913175905,38.0,0.523654145893282
14.0,0,random,914000,35,0.8631906666666667,continuum,644e87b,83305.0,2921.0,2427.0,2137.0,2.1003054025391448,42.0,1.0025427818334585
14.0,0,random,914000,36,0.8631906666666667,continuum,644e87b,83024.0,3036.0,2454.0,2127.0,2.104762273723021,41.0,0.9592753310012547
14.0,0,random,914000,37,0.8631906666666667,continuum,644e87b,87780.0,3165.0,2465.0,2089.0,2.031024772191383,41.0,1.010928109600858
14.0,0,random,914000,38,0.8631906666666667,continuum,644e87b,83477.0,3000.0,2417.0,2165.0,2.0975837827615926,41.0,0.8117485356486043
14.0,0,random,914000,39,0.8631906666666667,continuum,644e87b,90536.0,3149.0,2534.0,2272.0,1.9898530618737214,43.0,1.1215690749514735
14.0,0,random,914000,40,0.8631906666666667,continuum,644e87b,83905.0,3179.0,2472.0,2135.0,2.0908324174734503,43.0,0.9860478129051842
14.0,0,random,914000,41,0.8631906666666667,continuum,644e87b,85509.0,2981.0,2457.0,2187.0,2.0657928184996095,43.0,1.277910346761903
14.0,0,random,914000,42,0.8631906666666667,continuum,644e87b,81726.0,3095.0,2561.0,2154.0,2.1255211321604506,39.0,0.7623804609340326
14.0,0,random,914000,43,0.8631906666666667,continuum,644e87b,87284.0,3162.0,2377.0,2114.0,2.0385517379994216,44.0,1.2882912384702827
14.0,0,random,914000,44,0.8631906666666667,continuum,644e87b,87285.0,3150.0,2413.0,2213.0,2.038536525756209,44.0,1.0846643791638222
14.0,0,random,914000,45,0.8631906666666667,continuum,644e87b,84384.0,3101.0,2456.0,2220.0,2.0833118442702414,43.0,0.8344962614446487
14.0,0,random,914000,46,0.8631906666666667,continuum,644e87b,86625.0,3079.0,2528.0,2153.0,2.048609335452321,40.0,1.3477375763525856
14.0,0,random,914000,47,0.8631906666666667,continuum,644e87b,88080.0,3050.0,2543.0,2209.0,2.02648986620539,43.0,1.1228752105531115
