beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
22.0,1,random,922001,0,0.7834516666666667,continuum,644e87b,ok,44.0,25.0,0.035,0.205,0.17840252233315818,1.0
22.0,1,random,922001,24,0.7834516666666667,continuum,644e87b,ok,44.0,27.0,0.03375,0.235,0.08941701680672269,1.0
22.0,1,random,922001,47,0.7834516666666667,continuum,644e87b,ok,44.0,26.0,0.05125,0.12000000000000002,0.11870409233997901,0.7000000000000002
