beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
24.0,1,random,700201,0,0.756039,continuum,4507002,81454.0,3132.0,2462.0,2144.0,2.1299075272933505,39.0,-0.23883173288688297
24.0,1,random,700201,1,0.756039,continuum,4507002,80270.0,3130.0,2500.0,2121.0,2.149151259538897,42.0,-0.8512353400106498
24.0,1,random,700201,2,0.756039,continuum,4507002,81250.0,3089.0,2425.0,2168.0,2.1332057036657712,37.0,0.44916888924372955
24.0,1,random,700201,3,0.756039,continuum,4507002,84841.0,3130.0,2498.0,2151.0,2.0761710313375854,40.0,0.911099963155273
24.0,1,random,700201,4,0.756039,continuum,4507002,87971.0,3268.0,2476.0,2223.0,2.0281360144427385,43.0,0.3180440705167591
24.0,1,random,700201,5,0.756039,continuum,4507002,81270.0,3090.0,2464.0,2177.0,2.13288203423821,41.0,0.19004207241520987
24.0,1,random,700201,6,0.756039,continuum,4507002,79331.0,3114.0,2493.0,2162.0,2.164590008525746,39.0,0.0840343999884432
24.0,1,random,700201,7,0.756039,continuum,4507002,82809.0,3159.0,2459.0,2206.0,2.1081811837696263,41.0,0.3996774495070987
24.0,1,random,700201,8,0.756039,continuum,4507002,78680.0,3145.0,2415.0,2195.0,2.175387680700168,37.0,0.21205512302984175
24.0,1,random,700201,9,0.756039,continuum,4507002,84157.0,3017.0,2527.0,2144.0,2.0868712546729977,41.0,0.6683711837206658
24.0,1,random,700201,10,0.756039,continuum,4507002,82655.0,3105.0,2563.0,2212.0,2.1106348180687107,37.0,0.24275343053528786
24.0,1,random,700201,11,0.756039,continuum,4507002,81360.0,3181.0,2483.0,2114.0,2.131426380142308,41.0,0.08315966315530332
24.0,1,random,700201,12,0.756039,continuum,4507002,82321.0,3212.0,2452.0,2115.0,2.115970013518578,38.0,0.6744651158426258
24.0,1,random,700201,13,0.756039,continuum,4507002,79725.0,3104.0,2479.0,2206.0,2.1580926295040124,37.0,-0.1886799914048396
24.0,1,random,700201,14,0.756039,continuum,4507002,83059.0,3063.0,2485.0,2206.0,2.1042064344810774,39.0,0.5962467232388917
24.0,1,random,700201,15,0.756039,continuum,4507002,80963.0,3153.0,2529.0,2242.0,2.137858024629981,39.0,0.158268896883488
24.0,1,random,700201,16,0.756039,continuum,4507002,79479.0,3184.0,2483.0,2104.0,2.162146065149866,38.0,0.36136010913484284
24.0,1,random,700201,17,0.756039,continuum,4507002,84889.0,3138.0,2588.0,2141.0,2.0754229424655977,40.0,0.5097442052852053
24.0,1,random,700201,18,0.756039,continuum,4507002,88308.0,3237.0,2501.0,2167.0,2.023052185958429,41.0,0.6825048681206773
