beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
20.0,1,random,920001,0,0.8038616666666667,continuum,644e87b,83320.0,3022.0,2449.0,2104.0,2.1000678581214345,39.0,1.1206675381779618
20.0,1,random,920001,1,0.8038616666666667,continuum,644e87b,84801.0,3042.0,2446.0,2216.0,2.0767947181706212,42.0,0.7480844275293173
20.0,1,random,920001,2,0.8038616666666667,continuum,644e87b,84057.0,3052.0,2413.0,2102.0,2.08844191402828,48.0,0.9374415498544266
20.0,1,random,920001,3,0.8038616666666667,continuum,644e87b,80629.0,3082.0,2405.0,2133.0,2.1432903651874717,39.0,0.7484530025344895
20.0,1,random,920001,4,0.8038616666666667,continuum,644e87b,81008.0,3118.0,2505.0,2182.0,2.1371276172099973,39.0,-0.06226887237347256
20.0,1,random,920001,5,0.8038616666666667,continuum,644e87b,82462.0,3156.0,2506.0,2207.0,2.113715440329927,40.0,0.7498884159408519
20.0,1,random,920001,6,0.8038616666666667,continuum,644e87b,84110.0,3156.0,2460.0,2067.0,2.0876092632283303,40.0,0.997593684353447
20.0,1,random,920001,7,0.8038616666666667,continuum,644e87b,84982.0,3036.0,2409.0,2069.0,2.0739745597398613,40.0,1.0187933670064844
20.0,1,random,920001,8,0.8038616666666667,continuum,644e87b,85588.0,3181.0,2540.0,2122.0,2.0645700867734202,41.0,0.8273021981911377
20.0,1,random,920001,9,0.8038616666666667,continuum,644e87b,79702.0,2965.0,2456.0,2136.0,2.158471145353162,40.0,0.5235907032162217
20.0,1,random,920001,10,0.8038616666666667,continuum,644e87b,81811.0,3147.0,2536.0,2200.0,2.1241529901141245,38.0,0.20813235045203982
20.0,1,random,920001,11,0.8038616666666667,continuum,644e87b,83505.0,2951.0,2403.0,2192.0,2.0971411886500153,40.0,0.7637919611780717
20.0,1,random,920001,12,0.8038616666666667,continuum,644e87b,86629.0,3264.0,2512.0,2139.0,2.048548089633882,40.0,0.9830297399702914
20.0,1,random,920001,13,0.8038616666666667,continuum,644e87b,83921.0,3116.0,2513.0,2085.0,2.09058060901447,40.0,1.0134014123104365
20.0,1,random,920001,14,0.8038616666666667,continuum,644e87b,83866.0,2951.0,2498.0,2140.0,2.0914463748674876,41.0,1.0883022914891889
20.0,1,random,920001,15,0.8038616666666667,continuum,644e87b,83507.0,2980.0,2513.0,2146.0,2.097109579708171,40.0,0.43384495158375813
20.0,1,random,920001,16,0.8038616666666667,continuum,644e87b,88381.0,3236.0,2405.0,2121.0,2.0219531325898643,44.0,1.22099542084365
20.0,1,random,920001,17,0.8038616666666667,continuum,644e87b,81508.0,3102.0,2399.0,2182.0,2.1290356851354106,44.0,0.7403982615683695
20.0,1,random,920001,18,0.8038616666666667,continuum,644e87b,84210.0,3247.0,2491.0,2054.0,2.0860394601101184,44.0,0.5445579664562068
20.0,1,random,920001,19,0.8038616666666667,continuum,644e87b,86226.0,2914.0,2464.0,2174.0,2.0547308720832227,41.0,0.711914118253894
20.0,1,random,920001,20,0.8038616666666667,continuum,644e87b,84222.0,3043.0,2524.0,2215.0,2.085851192174732,39.0,0.39276046090709116
20.0,1,random,920001,21,0.8038616666666667,continuum,644e87b,83141.0,3151.0,2532.0,2064.0,2.1029049780363236,39.0,0.7021467147762017
20.0,1,random,920001,22,0.8038616666666667,continuum,644e87b,82243.0,3104.0,2406.0,2070.0,2.1172186666757895,43.0,0.9661890692024571
20.0,1,random,920001,23,0.8038616666666667,continuum,644e87b,83083.0,2992.0,2384.0,2146.0,2.103825405037316,41.0,0.9879014422769288
20.0,1,random,920001,24,0.8038616666666667,continuum,644e87b,84254.0,3148.0,2521.0,2092.0,2.0853492578158948,37.0,0.6321947913864214
20.0,1,random,920001,25,0.8038616666666667,continuum,644e87b,83764.0,3135.0,2418.0,2158.0,2.0930532795941605,39.0,0.43220353582907123
