n_expected,seed,n_realized,rho,pool_size,rejections,complete,y,median_relerr_curved,median_relerr_vs_flat_template,median_flat_curved_gap,min_m_open,mean_m_open,stage,code_version
600.0,1120000.0,579.0,385.99999999718545,3649.0,10.0,True,-0.6171130471358537,0.24148321702445136,0.4748395140922761,0.3622288852570546,15.0,20.666666666666668,A12,6d1d1bf
600.0,1120200.0,632.0,421.33333333026115,4535.0,28.0,True,-0.469282711081347,0.33940425991971757,0.5301728538753389,0.42543788738719046,15.0,18.833333333333332,A12,6d1d1bf
600.0,1120400.0,608.0,405.33333333037785,3681.0,10.0,True,-0.6416814803946052,0.22820151305024544,0.43620424634264787,0.41917562349568627,14.0,20.0,A12,6d1d1bf
600.0,1120600.0,612.0,407.99999999702504,3959.0,4.0,True,-0.5316343683910973,0.29401238943951014,0.4794237636508908,0.4648139696183149,14.0,19.0,A12,6d1d1bf
600.0,1120800.0,585.0,389.9999999971563,3897.0,4.0,True,-0.4495693440681398,0.3551654044751819,0.5475106507629729,0.5210550535707422,7.0,17.0,A12,6d1d1bf
600.0,1121000.0,610.0,406.66666666370145,4285.0,14.0,True,-0.52947409990821,0.2954785098232181,0.5192989247055515,0.41946908491872015,9.0,17.333333333333332,A12,6d1d1bf
600.0,1121200.0,636.0,423.9999999969084,4417.0,3.0,True,-0.7012939245546781,0.19893265343483038,0.43612628142071486,0.3665183855917863,15.0,18.5,A12,6d1d1bf
600.0,1121400.0,619.0,412.6666666636577,4081.0,8.0,True,-0.4584319622313796,0.3479910206097931,0.5020636581912847,0.3565946910536426,12.0,18.166666666666668,A12,6d1d1bf
600.0,1121600.0,616.0,410.6666666636723,4019.0,19.0,True,-0.5385627539211527,0.28935916737289874,0.4401045987861593,0.4370593095004356,12.0,18.666666666666668,A12,6d1d1bf
600.0,1121800.0,604.0,402.6666666637306,3986.0,7.0,True,-0.6848298054189563,0.2066189711104061,0.4465271383582011,0.38242290983227767,14.0,19.333333333333332,A12,6d1d1bf
600.0,1122000.0,618.0,411.9999999969959,3983.0,5.0,True,-0.5622481397299867,0.2740008185729803,0.45398035578251805,0.2988310876576776,10.0,20.0,A12,6d1d1bf
600.0,1122200.0,574.0,382.66666666387647,3445.0,13.0,True,-0.6195431445774778,0.24013576954102725,0.45314026095635596,0.37803983088882176,14.0,18.0,A12,6d1d1bf
1200.0,1136000.0,1277.0,851.3333333271258,18226.0,5.0,True,-0.7425342882086449,0.18091130723917984,0.4147720763315396,0.44994085734791944,31.0,40.166666666666664,A12,6d1d1bf
1200.0,1136200.0,1212.0,807.9999999941085,16299.0,12.0,True,-0.5921826557948082,0.2557510021807555,0.457233720415171,0.4749606258297637,27.0,36.833333333333336,A12,6d1d1bf
1200.0,1136400.0,1181.0,787.3333333275925,15557.0,3.0,True,-0.7593373720525192,0.17404543147081505,0.408209985864339,0.3825242677209581,33.0,41.0,A12,6d1d1bf
1200.0,1136600.0,1242.0,827.9999999939627,17271.0,22.0,True,-1.073697020237365,0.0843923304300919,0.28963754985578394,0.2891467331632035,22.0,38.0,A12,6d1d1bf
1200.0,1136800.0,1168.0,778.666666660989,15863.0,7.0,True,-0.5890967134128277,0.2575747497698322,0.4914463555297469,0.4042707608663737,27.0,37.666666666666664,A12,6d1d1bf
1200.0,1137000.0,1122.0,747.999999994546,14068.0,17.0,True,-0.5037512744298633,0.31350807079465565,0.49675948827242433,0.37108868981716453,27.0,33.833333333333336,A12,6d1d1bf
1200.0,1137200.0,1238.0,825.3333333273154,17402.0,2.0,True,-0.6417609046819446,0.22815978310417695,0.468631908822973,0.451178536964004,31.0,40.666666666666664,A12,6d1d1bf
1200.0,1137400.0,1214.0,809.3333333274321,15896.0,4.0,True,-0.9647784881213431,0.10844799119054793,0.3754108815694408,0.3479289275514117,34.0,42.666666666666664,A12,6d1d1bf
1200.0,1137600.0,1153.0,768.666666661062,14812.0,6.0,True,-0.5538448777062083,0.2793541466573555,0.49795716156970926,0.3673877703272278,31.0,35.0,A12,6d1d1bf
1200.0,1137800.0,1230.0,819.999999994021,16778.0,11.0,True,-0.8066929316520731,0.15606555759028645,0.40906950419315835,0.40722036519533483,31.0,42.0,A12,6d1d1bf
1200.0,1138000.0,1270.0,846.6666666604932,18213.0,21.0,True,-0.6819340262338544,0.20800126382626133,0.4221487217930597,0.350759987200966,30.0,40.166666666666664,A12,6d1d1bf
1200.0,1138200.0,1190.0,793.3333333275488,15841.0,2.0,True,-0.6382832310000616,0.22999413904220573,0.4369850186162228,0.39757758758582123,27.0,36.666666666666664,A12,6d1d1bf
2400.0,1152000.0,2415.0,1609.9999999882607,65658.0,23.0,True,-0.6062331495896521,0.24760924185429412,0.4856753888621459,0.4244212968002057,64.0,79.16666666666667,A12,6d1d1bf
2400.0,1152200.0,2432.0,1621.3333333215114,65439.0,4.0,True,-0.7784182307949554,0.16656424063364272,0.4356501231806804,0.4709332555234753,63.0,80.66666666666667,A12,6d1d1bf
2400.0,1152400.0,2345.0,1563.3333333219343,62120.0,7.0,True,-0.6519255079375744,0.2228817412860018,0.44862036572670677,0.3797234912339671,70.0,81.5,A12,6d1d1bf
2400.0,1152600.0,2452.0,1634.6666666547476,66787.0,9.0,True,-0.5670089813352253,0.2710135584925256,0.45875628404511093,0.38211097304910135,62.0,77.66666666666667,A12,6d1d1bf
2400.0,1152800.0,2376.0,1583.9999999884503,60788.0,9.0,True,-0.599478031327385,0.25149072257013694,0.4721883416599693,0.36413964653713454,66.0,76.16666666666667,A12,6d1d1bf
2400.0,1153000.0,2344.0,1562.6666666552726,60150.0,1.0,True,-0.7120856222681698,0.1940503264694406,0.3828835475044142,0.32665247454527035,54.0,62.5,A12,6d1d1bf
2400.0,1153200.0,2451.0,1633.9999999880856,68411.0,4.0,True,-0.7310311974603313,0.1857671004860284,0.41912537195334104,0.3265958939285105,64.0,79.83333333333333,A12,6d1d1bf
2400.0,1153400.0,2464.0,1642.6666666546892,68225.0,10.0,True,-0.6074911757037266,0.2468930269832892,0.42891207034940465,0.3614226220328072,57.0,72.0,A12,6d1d1bf
