rung,seed,flat_twin,rho,n_realized,rho_hat,pool_size,rejections,complete,mean_g,mean_tau_hat,mean_m,sd_m,pairs_scored,stage,code_version
600.0,31000000.0,False,19.025,541.0,18.563725490196077,716.0,27.0,True,1.0372318804064837,1.0394049471372737,19.333333333333332,2.804757862395017,6.0,B12,5252ee7
600.0,31000200.0,False,19.025,529.0,18.151960784313722,1049.0,4.0,True,0.9135369425547996,1.1064504526614816,18.5,7.231873892705818,6.0,B12,5252ee7
600.0,31000400.0,False,19.025,553.0,18.97549019607843,862.0,4.0,True,0.826240551776266,1.0551200039244246,17.333333333333332,5.08592829940284,6.0,B12,5252ee7
600.0,31000600.0,False,19.025,556.0,19.07843137254902,876.0,10.0,True,1.0612320483749054,0.9713257910684016,18.333333333333332,3.386246693120078,6.0,B12,5252ee7
600.0,31000800.0,False,19.025,561.0,19.249999999999996,967.0,16.0,True,1.1274460401444528,1.0207090877654816,18.5,5.089204259999788,6.0,B12,5252ee7
600.0,31001000.0,False,19.025,534.0,18.323529411764703,749.0,4.0,True,0.9888456769300925,1.0461953456531312,16.833333333333332,4.956477243634502,6.0,B12,5252ee7
600.0,31001200.0,False,19.025,600.0,20.588235294117645,1059.0,31.0,True,0.7783524796511809,1.2207368318759013,22.5,3.6742346141747673,6.0,B12,5252ee7
600.0,31001400.0,False,19.025,548.0,18.803921568627448,875.0,31.0,True,1.1329421768707484,0.9240350677304141,17.5,4.679743582719036,6.0,B12,5252ee7
600.0,31001600.0,False,19.025,577.0,19.799019607843135,1000.0,9.0,True,0.6141093999328127,1.297800654789672,20.333333333333332,5.125101625008685,6.0,B12,5252ee7
600.0,31001800.0,False,19.025,569.0,19.524509803921568,887.0,25.0,True,1.0046357514539335,1.013508228274764,18.5,7.231873892705818,6.0,B12,5252ee7
600.0,31002000.0,False,19.025,589.0,20.210784313725487,1173.0,5.0,True,0.9074192176870747,1.0747959587657663,19.333333333333332,4.88535225614967,6.0,B12,5252ee7
600.0,31002200.0,False,19.025,523.0,17.94607843137255,1052.0,33.0,True,0.8315329218106996,1.1405985831680552,18.833333333333332,4.119061381755152,6.0,B12,5252ee7
600.0,31002400.0,False,19.025,562.0,19.284313725490193,872.0,12.0,True,0.8767119656504576,1.1271480086714245,20.666666666666668,4.033195589934445,6.0,B12,5252ee7
600.0,31002600.0,False,19.025,551.0,18.90686274509804,900.0,11.0,True,1.1250547996976568,0.94861952745265,18.5,5.75325994545701,6.0,B12,5252ee7
600.0,31002800.0,False,19.025,523.0,17.94607843137255,763.0,11.0,True,0.9774305555555557,1.0015011949768289,17.0,7.26636084983398,6.0,B12,5252ee7
600.0,31003000.0,False,19.025,558.0,19.14705882352941,1388.0,9.0,True,0.9038525132275135,1.0503821263555124,19.166666666666668,4.4907311951024935,6.0,B12,5252ee7
600.0,31003200.0,False,19.025,580.0,19.901960784313722,1284.0,28.0,True,0.8822770219198789,1.1887713572851082,22.0,2.3664319132398464,6.0,B12,5252ee7
600.0,31003400.0,False,19.025,541.0,18.563725490196077,986.0,10.0,True,0.9964115646258506,1.0120521853705033,17.833333333333332,3.0605010483034745,6.0,B12,5252ee7
600.0,31003600.0,False,19.025,589.0,20.210784313725487,892.0,32.0,True,0.8999196900982614,1.0747959587657663,20.5,3.146426544510455,6.0,B12,5252ee7
600.0,31003800.0,False,19.025,569.0,19.524509803921568,1235.0,18.0,True,0.8848379629629631,1.1201933049352653,21.833333333333332,8.084965470963168,6.0,B12,5252ee7
