n,sample_index,chain_seed,old_score_seed,clean_score_seed,code_version,status,truth,restricted_old,eligible_old,mix_matched_old,restricted_clean,eligible_clean,mix_matched_clean,delta_restricted,delta_mix_matched
600.0,0.0,40000.0,40009.0,41000.0,b5b0af5,ok,0.1501903636602337,0.06311805062692216,21135.0,0.04973518616518514,0.06325884631738082,21167.0,0.05034084161145534,0.00014079569045866158,0.0006056554462702049
600.0,1.0,40001.0,40010.0,41001.0,b5b0af5,ok,0.14544262295081967,0.050347047580726285,19882.0,0.03545663717049718,0.05050098182367454,19861.0,0.035119319503658306,0.0001539342429482532,-0.0003373176668388725
600.0,2.0,40002.0,40011.0,41002.0,b5b0af5,ok,0.20943643512450852,0.12959579303890548,22439.0,0.12156589868114237,0.12597934472934472,22464.0,0.1177493744366593,-0.0036164483095607602,-0.0038165242444830744
600.0,3.0,40003.0,40012.0,41003.0,b5b0af5,ok,0.14583333333333334,0.06927030792141038,20817.0,0.05526697702826797,0.07123655913978495,20832.0,0.05691338111228878,0.0019662512183745706,0.0016464040840208083
600.0,4.0,40004.0,40013.0,41004.0,b5b0af5,ok,0.13673415724428084,0.021231073074391045,18228.0,0.01233815890612771,0.022386831275720165,18225.0,0.012716369792507995,0.0011557582013291198,0.0003782108863802855
600.0,5.0,40005.0,40014.0,41005.0,b5b0af5,ok,0.1552901023890785,0.05374375216509131,20207.0,0.03836483923641478,0.050143550143550146,20202.0,0.036699108801518804,-0.0036002020215411615,-0.0016657304348959776
600.0,6.0,40006.0,40015.0,41006.0,b5b0af5,ok,0.16625212724178556,0.09190104411626376,21262.0,0.07569621204561486,0.08876658199266159,21258.0,0.07358605809981256,-0.0031344621236021747,-0.002110153945802301
600.0,7.0,40007.0,40016.0,41007.0,b5b0af5,ok,0.14885796797059594,0.03684441037994087,18266.0,0.021257158582114338,0.035091543156059286,18352.0,0.020641537427538662,-0.0017528672238815851,-0.0006156211545756754
600.0,8.0,40008.0,40017.0,41008.0,b5b0af5,ok,0.24862313139260425,0.16970560770629578,20347.0,0.13081757874643493,0.1728175485400919,20241.0,0.13194302053322832,0.003111940833796123,0.0011254417867933852
600.0,9.0,40009.0,40018.0,41009.0,b5b0af5,ok,0.11348727368144844,0.007973266107756347,17057.0,0.004120508307735226,0.006885498901881641,16847.0,0.003604661031534511,-0.001087767205874706,-0.0005158472762007153
600.0,10.0,40010.0,40019.0,41010.0,b5b0af5,ok,0.11195495613460783,0.020278707357274862,20021.0,0.013848207882725611,0.02212897747140217,20019.0,0.014978149499564717,0.001850270114127306,0.0011299416168391065
600.0,11.0,40011.0,40020.0,41011.0,b5b0af5,ok,0.1465018411362441,0.04764392435482186,19142.0,0.03129598027691322,0.0483451290591174,19216.0,0.03211769431103545,0.0007012047042955424,0.000821714034122227
600.0,12.0,40012.0,40021.0,41012.0,b5b0af5,ok,0.134070854734624,0.022097643280901323,18373.0,0.012985372801857872,0.021238842886331863,18598.0,0.012578354953379245,-0.0008588003945694603,-0.00040701784847862674
