event_index,t,true_x,single_observer_radar_time,single_observer_radar_distance,beacon_distance,two_chain_signed_position
0.0,-0.45,0.1,-0.45,0.10000000000000003,0.24999999999999997,0.10000000000000002
1.0,-0.45,-0.1,-0.45,0.10000000000000003,0.44999999999999996,-0.09999999999999995
2.0,-0.15,0.25,-0.15000000000000002,0.25,0.09999999999999998,0.25
3.0,-0.15,-0.25,-0.15000000000000002,0.25,0.6,-0.25
4.0,0.2,0.4,0.20000000000000004,0.4,0.050000000000000044,0.4000000000000001
5.0,0.2,-0.4,0.20000000000000004,0.4,0.75,-0.39999999999999997
6.0,0.45,0.2,0.45,0.2,0.14999999999999997,0.20000000000000004
7.0,0.45,-0.2,0.45,0.2,0.55,-0.20000000000000012
