N,repetition,pair_number,rho,true_tau,interval_count,chain_length_including_endpoints,effective_chain_length_minus_endpoints,asymptotic_chain_length,tau_chain_estimate,tau_chain_error
600.0,0.0,0.0,300.0,0.44766144243083067,35.0,12.0,10.0,10.965421114738419,0.408248290463863,-0.03941315196696765
600.0,0.0,1.0,300.0,0.5669659049924771,62.0,13.0,11.0,13.887771687868545,0.4490731195102493,-0.11789278548222781
600.0,0.0,2.0,300.0,0.3251544180923963,16.0,8.0,6.0,7.964624119379578,0.24494897427831783,-0.08020544381407849
600.0,0.0,3.0,300.0,0.9183461446022095,140.0,23.0,21.0,22.494794615275893,0.8573214099741123,-0.06102473462809721
600.0,0.0,4.0,300.0,0.38759620791251276,27.0,9.0,7.0,9.494129356233561,0.2857738033247041,-0.10182240458780867
600.0,0.0,5.0,300.0,0.7016144066071046,78.0,16.0,14.0,17.185972923730088,0.5715476066494082,-0.13006679995769643
600.0,0.0,6.0,300.0,0.5067946189572627,52.0,13.0,11.0,12.413882208335243,0.4490731195102493,-0.057721499447013436
600.0,0.0,7.0,300.0,0.5435881725190023,47.0,13.0,11.0,13.315136528835486,0.4490731195102493,-0.09451505300875296
600.0,0.0,8.0,300.0,0.6128495863244263,58.0,14.0,12.0,15.01168775570596,0.48989794855663565,-0.12295163776779067
600.0,0.0,9.0,300.0,0.5105355806638842,35.0,11.0,9.0,12.50551668162038,0.3674234614174767,-0.14311211924640743
600.0,0.0,10.0,300.0,1.3097513409151087,263.0,30.0,28.0,32.08222475168072,1.1430952132988164,-0.16665612761629234
600.0,0.0,11.0,300.0,0.5464522729494494,54.0,13.0,11.0,13.3852923751023,0.4490731195102493,-0.09737915343920012
600.0,0.0,12.0,300.0,0.9186657927296618,140.0,22.0,20.0,22.502624363370835,0.816496580927726,-0.10216921180193572
600.0,0.0,13.0,300.0,0.4742836195192469,29.0,9.0,7.0,11.617528611824747,0.2857738033247041,-0.18850981619454282
600.0,0.0,14.0,300.0,0.23339653830787846,11.0,7.0,5.0,5.717024265862494,0.2041241452319315,-0.02927239307594695
600.0,0.0,15.0,300.0,0.5650595699899603,43.0,12.0,10.0,13.84107620751881,0.408248290463863,-0.1568112795260973
600.0,0.0,16.0,300.0,0.30788102006861157,11.0,6.0,4.0,7.541514006556858,0.16329931618554522,-0.14458170388306635
600.0,0.0,17.0,300.0,0.9112421987645154,117.0,24.0,22.0,22.320784190648705,0.8981462390204986,-0.013095959744016783
600.0,0.0,18.0,300.0,0.8991824005587196,122.0,20.0,18.0,22.025380670597386,0.7348469228349535,-0.1643354777237661
600.0,0.0,19.0,300.0,0.8673852750807655,119.0,21.0,19.0,21.246513343515005,0.7756717518813397,-0.09171352319942572
600.0,0.0,20.0,300.0,0.44314143512996473,28.0,10.0,8.0,10.854703999530656,0.32659863237109044,-0.1165428027588743
600.0,0.0,21.0,300.0,0.4827118093302188,32.0,11.0,9.0,11.823976256746802,0.3674234614174767,-0.11528834791274206
600.0,0.0,22.0,300.0,0.2892560714235802,10.0,6.0,4.0,7.085297799898179,0.16329931618554522,-0.12595675523803496
600.0,0.0,23.0,300.0,0.8752677745445525,131.0,20.0,18.0,21.439594359355407,0.7348469228349535,-0.14042085170959906
600.0,0.0,24.0,300.0,0.5362493093565335,30.0,9.0,7.0,13.13537182843392,0.2857738033247041,-0.2504755060318294
600.0,0.0,25.0,300.0,0.856416720804541,118.0,19.0,17.0,20.97783973158728,0.6940220937885672,-0.16239462701597385
600.0,0.0,26.0,300.0,0.5884180056510209,48.0,11.0,9.0,14.413238693111097,0.3674234614174767,-0.22099454423354414
600.0,0.0,27.0,300.0,0.24026535918807695,5.0,5.0,3.0,5.885275328773105,0.12247448713915891,-0.11779087204891804
600.0,0.0,28.0,300.0,0.3717831798208996,21.0,9.0,7.0,9.106790855106073,0.2857738033247041,-0.0860093764961955
600.0,0.0,29.0,300.0,0.25177852580784243,8.0,7.0,5.0,6.1672891641937975,0.2041241452319315,-0.047654380575910926
600.0,1.0,0.0,300.0,1.1495082753775816,191.0,24.0,22.0,28.157087297817668,0.8981462390204986,-0.251362036357083
600.0,1.0,1.0,300.0,0.9571583527374419,112.0,20.0,18.0,23.44549567249607,0.7348469228349535,-0.22231142990248842
600.0,1.0,2.0,300.0,0.6670580830552103,62.0,14.0,12.0,16.33951932284347,0.48989794855663565,-0.17716013449857465
600.0,1.0,3.0,300.0,0.3823535100122836,14.0,8.0,6.0,9.365710008922338,0.24494897427831783,-0.1374045357339658
600.0,1.0,4.0,300.0,0.6178649447633463,56.0,13.0,11.0,15.134538446231117,0.4490731195102493,-0.168791825253097
