i,j,t_i,x_i,t_j,x_j,true_spacelike_distance,common_future_count,common_past_count,minimal_enclosing_interval_count
525.0,658.0,-0.525502684322638,-0.7661081167128038,-0.47285447995491836,-0.1272967849071797,0.636638110876289,204.0,54.0,17.0
230.0,327.0,-1.247697440814755,0.01252555390852096,-0.9992142203306105,-0.395120086122835,0.3231579443157817,366.0,17.0,5.0
248.0,577.0,0.5109815020647326,0.10280290800977793,0.7576305211830499,-0.4278104745223401,0.46980296198528565,46.0,246.0,27.0
193.0,262.0,0.8261484596535627,-0.815655159166459,-0.16673781248952757,1.7592681599607214,2.375796066579523,4.0,7.0,302.0
469.0,606.0,0.6257650755627373,1.2188714783842196,-0.005465038604605343,-1.4724983648567842,2.6162989462359594,5.0,33.0,338.0
633.0,647.0,-0.49798009642169605,-0.5279496715721288,0.5970715608039039,1.2020523280578985,1.3393165371678797,21.0,53.0,98.0
237.0,678.0,-0.8034015534912666,1.1962345777526535,-0.40622586651721004,-0.9906570542310588,2.1505223746143796,95.0,1.0,275.0
50.0,282.0,-0.9678662313501674,0.6207185271777679,0.2035664141742055,-1.0918563452929178,1.2492630831084994,68.0,17.0,76.0
549.0,662.0,-0.3984472113919919,0.23618591473429765,0.19655653505132076,1.4531283343842933,1.0615645974042316,47.0,56.0,79.0
161.0,628.0,-0.33272584644822656,-1.3957146546308081,-0.7627659908461526,1.1732938324949105,2.532759380819699,63.0,1.0,322.0
80.0,216.0,0.6825352757553533,-0.07703827000288212,0.014915924119375923,-0.865195436073387,0.41889869867241963,63.0,139.0,17.0
217.0,628.0,-0.7474195446561271,0.661288566876725,-0.7627659908461526,1.1732938324949105,0.51177522273952,240.0,3.0,15.0
435.0,472.0,0.17388308786455742,1.2337799874350737,0.0032574683289450235,-0.15073277224516896,1.3739586892172158,42.0,72.0,112.0
360.0,445.0,0.6378671760572332,0.15877952007096094,-0.43821397706319143,1.48892835132582,0.7818857110778306,69.0,9.0,68.0
163.0,697.0,0.03250554068333811,-1.4765699019120497,0.8915890622782556,0.2765563585723416,1.5282104528251537,21.0,68.0,115.0
469.0,642.0,0.6257650755627373,1.2188714783842196,1.2065538520778492,0.6362368752385309,0.04634088752725425,12.0,237.0,2.0
64.0,229.0,0.21067512146708234,1.4157755666141474,0.5942074481829889,1.0021964459033494,0.1547599542898612,43.0,124.0,5.0
371.0,513.0,0.2525945647807353,-1.1543920873109785,-0.10672810450876025,0.9173101622951517,2.0403032692121466,34.0,48.0,241.0
169.0,242.0,-0.028934323594719036,0.39741508831740363,-0.4844017074933,-1.2978921872803166,1.6329777159836407,80.0,15.0,125.0
213.0,232.0,-0.6781975954939572,-0.3160285539927218,-0.5517474122462351,-0.6103359688718565,0.26575779501165464,248.0,59.0,14.0
51.0,318.0,0.006076949683397892,-1.0062292744718364,0.9737216473799899,0.9154352871165081,1.6602585420000693,5.0,89.0,113.0
216.0,659.0,0.014915924119375923,-0.865195436073387,0.44238072823299435,1.1028244436529842,1.9210351605950127,20.0,69.0,191.0
308.0,625.0,0.9830809184882101,-0.8129072347292067,1.4575085496393663,0.4966197862994246,1.2205652139908068,1.0,277.0,91.0
285.0,352.0,0.9271158993352699,-0.6823998275344906,0.22705459850553478,0.4081681345732282,0.8362132832336269,22.0,194.0,46.0
247.0,581.0,0.23304279177967846,1.5927829878330366,0.9240977864053121,-0.4869468975193083,1.9615604478146071,5.0,66.0,197.0
242.0,605.0,-0.4844017074933,-1.2978921872803166,-0.5929537714076876,1.3152845189655507,2.610921091776986,62.0,1.0,344.0
320.0,585.0,1.183513452695598,0.5145059242720234,1.085152027414495,0.7807298903958981,0.2473868027106459,10.0,374.0,8.0
89.0,680.0,0.05316814581666218,-0.7696799625660474,0.04847987923792951,1.8577252054013043,2.6274009851596754,6.0,7.0,340.0
194.0,441.0,-0.19781307175060325,-1.5349437202682865,-0.590342364652582,-0.4089571456134255,1.0553513730113109,93.0,29.0,52.0
321.0,550.0,-0.2127336021452373,-1.5154054740666631,-0.17622001751528016,0.37582583338583586,1.8908787947475534,52.0,17.0,170.0
9.0,119.0,0.3396054572130387,-1.0092107004631925,-0.4302027271890303,-0.14184075995631593,0.39965731936559434,75.0,108.0,15.0
43.0,170.0,0.5093741541731767,0.07864665171446109,-0.15825156976621857,-0.7149980943024942,0.42912454557472673,88.0,128.0,13.0
416.0,601.0,-0.6645838808747309,-0.9170945113841644,-1.148847392427756,0.5969639291425386,1.4345249432158664,200.0,2.0,127.0
335.0,353.0,0.1148714532295112,-0.19132070921054262,0.4478194266292319,-1.4493287242002635,1.2131487183306904,9.0,103.0,112.0
30.0,95.0,-0.7243737316686523,0.29442009012997455,0.5615114886306074,-1.0031439052510758,0.17369951734290637,43.0,68.0,12.0
185.0,196.0,-1.4577320226241781,-0.3255903759953725,-1.2817216442815478,0.3201083825226945,0.6212465158594108,408.0,2.0,32.0
325.0,503.0,1.620164760078604,-0.3341877999993209,0.7261148937665398,0.77478273656285,0.6561177390608866,2.0,289.0,52.0
327.0,613.0,-0.9992142203306105,-0.395120086122835,0.20695217123704124,1.2782390326107784,1.1598678269965097,62.0,25.0,72.0
274.0,397.0,0.27741282212579854,1.4030330423673651,-0.6018487069276994,0.3826145282943667,0.517835019469957,46.0,67.0,28.0
163.0,621.0,0.03250554068333811,-1.4765699019120497,0.09689231658613773,1.3804223460141969,2.856266627575148,12.0,15.0,382.0
5.0,459.0,0.08563478545061542,1.4617313384470123,-0.5200998357043112,-0.08864422332795996,1.4271474875721004,51.0,35.0,124.0
26.0,694.0,0.1663167564058603,0.3741668162422491,-0.021294333313671032,-1.5908515888461858,1.9560417713716,25.0,39.0,187.0
553.0,593.0,0.023293703056837867,1.0550677715040215,-0.36057983487633694,1.623950619844827,0.4198437828657408,92.0,2.0,42.0
4.0,661.0,-0.6504348303801577,0.1777354734499346,0.2195092544940822,1.5106710018614855,1.0099081206199414,38.0,43.0,70.0
256.0,643.0,-0.6623670622451265,0.16016460504452593,-0.3310030089444638,-0.7540597579330122,0.852058712790287,178.0,45.0,56.0
114.0,309.0,0.2526362335225678,1.6504206313505567,0.5474053156098178,-0.8560134330478861,2.489040559617769,3.0,41.0,317.0
265.0,286.0,1.0098106270220248,0.36923562801920445,1.1865967653337077,-0.791250567565672,1.1469415292175544,2.0,272.0,103.0
42.0,673.0,-0.5143146761822863,0.1596520915272673,0.18700193771860807,0.9458649791506974,0.3553670099091307,105.0,91.0,10.0
105.0,392.0,0.1573979485229926,-1.302253381485821,0.22121579821662607,0.30899636030027544,1.6099854075320819,35.0,71.0,159.0
277.0,645.0,-0.20180301648537569,0.47190711473396507,0.7689310374368459,-0.9003634355620852,0.9699494109310828,23.0,108.0,68.0
182.0,269.0,-1.0079899605874894,-0.7686619422239809,-0.3390614841309949,0.5147780854407191,1.095332368734513,164.0,10.0,94.0
551.0,655.0,1.4541916659108676,-0.3154525024663999,0.050980027169208686,1.2017773626739334,0.5770472775897155,7.0,108.0,34.0
393.0,477.0,-0.17231667954321095,0.0679074776120923,-0.12482232776561197,0.9904418878392653,0.9213110357541712,107.0,73.0,58.0
30.0,299.0,-0.7243737316686523,0.29442009012997455,-0.3015023175572935,-1.3923385422751209,1.6328914388655995,96.0,15.0,117.0
536.0,546.0,0.6349656007327185,-0.17249081303605068,0.45355182304728325,0.07674008023329836,0.17089493680544532,70.0,258.0,8.0
575.0,643.0,-0.9402727665727331,-0.07374194189658258,-0.3310030089444638,-0.7540597579330122,0.3026924070011787,213.0,44.0,13.0
527.0,548.0,-0.011558149502513437,1.6972178760412795,-0.923478017560682,-0.04776087767196608,1.4877341849777477,44.0,10.0,113.0
81.0,506.0,0.3837742874601968,0.8305563195958326,0.013630373999027334,-0.8323497648644511,1.6211878759300793,39.0,83.0,159.0
321.0,340.0,-0.2127336021452373,-1.5154054740666631,-0.6489172026617029,0.11827600393525595,1.5743757614391258,81.0,14.0,115.0
145.0,397.0,0.24651008647292683,-1.4151284324193778,-0.6018487069276994,0.3826145282943667,1.5849817382088836,30.0,33.0,128.0
106.0,655.0,0.5394613074637369,-0.11194100751337767,0.050980027169208686,1.2017773626739334,1.219525315427861,42.0,91.0,73.0
521.0,667.0,-0.9647616122916571,-0.8147280607387051,-0.17934220240440224,0.8409713496275187,1.457551675948204,113.0,8.0,127.0
28.0,95.0,1.3874777733194046,0.15100607532833474,0.5615114886306074,-1.0031439052510758,0.8061277034247354,7.0,210.0,58.0
370.0,638.0,0.1786552884604471,0.6086250736603233,-0.06816272652466004,-1.825913579840961,2.4219949056244228,16.0,6.0,282.0
23.0,234.0,0.37939954410227017,0.9397451770420953,0.13731523900126463,1.3525043326718436,0.334313191154561,58.0,109.0,11.0
204.0,270.0,-0.4520623006601405,-0.897822229304187,0.013508972753011772,-1.7229684850632536,0.6812559964988659,38.0,40.0,42.0
331.0,579.0,0.9092578975735592,-0.5226162984479292,1.1380600354190196,0.05636299562552719,0.5318520514984828,23.0,313.0,22.0
144.0,398.0,0.6793846106250556,1.2756726472160975,1.593559514520666,-0.21671753737520308,1.1796239689629522,1.0,208.0,79.0
60.0,314.0,1.0048900465994124,-0.41978730965050615,0.4181698362975439,0.6317169203402687,0.8725941442112843,27.0,221.0,42.0
352.0,400.0,0.22705459850553478,0.4081681345732282,0.3111385949532197,-0.6107984472140213,1.0154913964877186,61.0,146.0,52.0
581.0,612.0,0.9240977864053121,-0.4869468975193083,0.477162392165535,0.2795295601253127,0.6226836383744008,34.0,237.0,34.0
38.0,476.0,0.5337380942380223,-1.3731864723909084,1.1461774801851288,-0.6925465062807122,0.29696592735063093,8.0,200.0,9.0
120.0,297.0,0.626039477271239,-0.48109883533070874,0.7310775646053509,-0.11593771482687844,0.34972795732798423,52.0,267.0,15.0
334.0,550.0,-0.22739099515997463,0.07841106669284527,-0.17622001751528016,0.37582583338583586,0.29297964860026066,172.0,117.0,9.0
