acceleration,N,tick_count,repetitions,event_count,wedge_accessible_fraction,finite_coverage_accessible_fraction,reconstructed_accessible_fraction,true_positive,false_positive,true_negative,false_negative,precision,recall,false_positive_rate,false_negative_rate,radar_time_rmse_finite_coverage,radar_distance_rmse_finite_coverage,radar_time_bias_finite_coverage,radar_distance_bias_finite_coverage
1.5,600.0,32.0,5.0,3000.0,0.24633333333333332,0.18533333333333332,0.18533333333333332,556.0,0.0,2444.0,0.0,1.0,1.0,0.0,0.0,0.009792604609665207,0.024091203026245983,-0.0005850869148655924,0.02233111324982804
1.5,600.0,64.0,5.0,3000.0,0.24633333333333332,0.18533333333333332,0.18533333333333332,556.0,0.0,2444.0,0.0,1.0,1.0,0.0,0.0,0.0047011331994344175,0.011796344382208983,-1.40947768892911e-05,0.010929774865144086
1.5,600.0,128.0,5.0,3000.0,0.24633333333333332,0.18533333333333332,0.18533333333333332,556.0,0.0,2444.0,0.0,1.0,1.0,0.0,0.0,0.0023081656478580294,0.006246404505818777,4.10749031088033e-05,0.00583125759608574
1.5,1200.0,32.0,5.0,6000.0,0.253,0.19366666666666665,0.19366666666666665,1162.0,0.0,4838.0,0.0,1.0,1.0,0.0,0.0,0.009461677887895717,0.024907085551455564,0.00018175836149804362,0.023123976424289087
1.5,1200.0,64.0,5.0,6000.0,0.253,0.19366666666666665,0.19366666666666665,1162.0,0.0,4838.0,0.0,1.0,1.0,0.0,0.0,0.004701297978869152,0.012224073252803825,0.0001921935185424922,0.01132560840959288
1.5,1200.0,128.0,5.0,6000.0,0.253,0.19366666666666665,0.19366666666666665,1162.0,0.0,4838.0,0.0,1.0,1.0,0.0,0.0,0.002222678150419275,0.006042223145747894,-4.098779674461793e-05,0.005580363510297962
1.5,2400.0,32.0,5.0,12000.0,0.25033333333333335,0.18425,0.18425,2211.0,0.0,9789.0,0.0,1.0,1.0,0.0,0.0,0.009635881225429606,0.02459150895869528,-3.0609594763097935e-05,0.022665632925523687
1.5,2400.0,64.0,5.0,12000.0,0.25033333333333335,0.18425,0.18425,2211.0,0.0,9789.0,0.0,1.0,1.0,0.0,0.0,0.004723728161264086,0.01222456213603334,7.641616076710276e-05,0.011379069010807468
1.5,2400.0,128.0,5.0,12000.0,0.25033333333333335,0.18425,0.18425,2211.0,0.0,9789.0,0.0,1.0,1.0,0.0,0.0,0.0023015962630723074,0.0060334799344076056,1.8772110822665375e-05,0.005580304755061033
2.0,600.0,32.0,5.0,3000.0,0.24866666666666667,0.206,0.206,618.0,0.0,2382.0,0.0,1.0,1.0,0.0,0.0,0.009145829196574338,0.02291123461659193,-6.913331869202893e-05,0.0210922273251612
2.0,600.0,64.0,5.0,3000.0,0.24866666666666667,0.206,0.206,618.0,0.0,2382.0,0.0,1.0,1.0,0.0,0.0,0.004504661766911147,0.011814612555138165,-0.00012202610499535724,0.010950316896097647
2.0,600.0,128.0,5.0,3000.0,0.24866666666666667,0.206,0.206,618.0,0.0,2382.0,0.0,1.0,1.0,0.0,0.0,0.002265493659466385,0.005688114295441436,7.90636703782816e-06,0.005289601354472372
2.0,1200.0,32.0,5.0,6000.0,0.242,0.20333333333333334,0.20333333333333334,1220.0,0.0,4780.0,0.0,1.0,1.0,0.0,0.0,0.009090943106753591,0.022999493639002142,0.0005860243118281891,0.02122941476573471
2.0,1200.0,64.0,5.0,6000.0,0.242,0.20333333333333334,0.20333333333333334,1220.0,0.0,4780.0,0.0,1.0,1.0,0.0,0.0,0.004569564869255542,0.01132100627100316,0.00011828290516509219,0.010490174681123414
2.0,1200.0,128.0,5.0,6000.0,0.242,0.20333333333333334,0.20333333333333334,1220.0,0.0,4780.0,0.0,1.0,1.0,0.0,0.0,0.0021508568620400774,0.005720244922825695,4.335028608669824e-05,0.005286845263284235
2.0,2400.0,32.0,5.0,12000.0,0.25116666666666665,0.20541666666666666,0.20541666666666666,2465.0,0.0,9535.0,0.0,1.0,1.0,0.0,0.0,0.008908747730201673,0.023572826580110333,8.357311202172552e-06,0.021782446572296416
2.0,2400.0,64.0,5.0,12000.0,0.25116666666666665,0.20541666666666666,0.20541666666666666,2465.0,0.0,9535.0,0.0,1.0,1.0,0.0,0.0,0.00440045624270439,0.011605306042920585,0.00011994508847107555,0.010714377999372275
2.0,2400.0,128.0,5.0,12000.0,0.25116666666666665,0.20541666666666666,0.20541666666666666,2465.0,0.0,9535.0,0.0,1.0,1.0,0.0,0.0,0.0021791193350476994,0.005755595526495748,-2.5163342954753385e-05,0.005324085303200662
