kind,source_protocol,target_protocol,expected_beta,fitted_beta,fitted_beta_error,translation_t,translation_x,rmse,beta_composition_error,translation_composition_error_norm
transition,A_lab,B_moving_pos,0.3,0.30000000000000004,5.551115123125783e-17,-0.06813851438692467,0.06813851438692467,4.2890699471593715e-17,nan,nan
transition,B_moving_pos,C_moving_neg,-0.5116279069767442,-0.512,-0.00037209302325580396,0.06967882455991661,-0.06971736543133528,0.00014906519304716813,nan,nan
transition,A_lab,C_moving_neg,-0.25,-0.2499999999999999,1.1102230246251565e-16,0.030983866769659328,-0.03098386676965932,4.4109991236178034e-17,nan,nan
loop,A_lab,C_moving_neg,-0.25,-0.2499999999999999,1.1102230246251565e-16,0.030983866769659328,-0.03098386676965932,0.0,-0.0004725897920605515,2.780947960439778e-05
