N,repetitions,pair_count,rho,observed_mae,observed_rmse,observed_bias,observed_relative_rmse,mean_poisson_abs_std,mean_poisson_rel_std,mean_binomial_abs_std,mean_binomial_rel_std,rmse_to_poisson_abs_std_ratio,rmse_to_binomial_abs_std_ratio
300.0,5.0,1000.0,150.0,0.04494357689909945,0.05722712337507768,-0.0071342437050069644,0.20305384363752862,0.05773502691896259,0.14449716338502508,0.054083891681781765,0.13996491237822767,0.9912028525664706,1.0581177055784008
600.0,5.0,1000.0,300.0,0.03204463942808838,0.04003636618548537,0.002121201819625459,0.13285606391079474,0.0408248290463863,0.10189242617707879,0.03819060783275755,0.09864728343793185,0.9806866830965769,1.0483301643380663
1200.0,5.0,1000.0,600.0,0.024330728023400625,0.03074151059104514,-0.0062850451285413386,0.10426304360085398,0.028867513459481294,0.07222841198877829,0.026958879050622244,0.0699202548996677,1.0649171649021383,1.1403111580908105
2400.0,5.0,1000.0,1200.0,0.015022686432752945,0.019060291801748033,-0.00297391121048926,0.06312240136632674,0.02041241452319315,0.051223146435337194,0.01906465882601319,0.04959063532788916,0.9337597852567222,0.9997709361439399
