profile,N,repetitions,pair_count,true_volume_mean,unweighted_volume_rmse,weighted_volume_rmse,unweighted_volume_bias,weighted_volume_bias,unweighted_relative_rmse,weighted_relative_rmse
constant_1.5,600.0,5.0,1000.0,0.5317637789113653,0.4327776322146676,0.05627308561080664,-0.2954271122446986,-6.278911365250827e-06,0.5689863332420664,0.2340028301674527
constant_1.5,1200.0,5.0,1000.0,0.5306581205511166,0.4288481619288539,0.04182447143863042,-0.2922231205511166,0.005820629448883387,0.5574885457347171,0.1739252769878177
constant_1.5,2400.0,5.0,1000.0,0.5087045856219973,0.4006407133640714,0.029194276582722715,-0.28108375228866395,0.00344228937800268,0.5570876929508979,0.11751385753516666
flat,600.0,5.0,1000.0,0.23633945729394013,0.02501026027146962,0.02501026027146962,-2.790627273444146e-06,-2.790627273444146e-06,0.23400283016745274,0.23400283016745274
flat,1200.0,5.0,1000.0,0.23584805357827407,0.018588653972724634,0.018588653972724634,0.002586946421725951,0.002586946421725951,0.1739252769878177,0.1739252769878177
flat,2400.0,5.0,1000.0,0.22609092694310992,0.012975234036765652,0.012975234036765652,0.0015299063902234132,0.0015299063902234132,0.11751385753516666,0.11751385753516666
sinusoidal_0.3,600.0,5.0,1000.0,0.24205898705377837,0.05575182261907869,0.027609587299676316,-0.005722320387111707,0.00113386319765648,0.37307551646041237,0.2353497120444203
sinusoidal_0.3,1200.0,5.0,1000.0,0.24364030482221427,0.054502081359081335,0.019408809680745473,-0.005205304822214271,0.0038247662261848706,0.29779463502736686,0.17625673146290854
sinusoidal_0.3,2400.0,5.0,1000.0,0.23044379189395067,0.058384817435734634,0.013543377880658724,-0.0028229585606173264,0.0010142658429184962,0.2995644124395247,0.11855944766915891
