n_events,T,diamond_volume,rho,true_tau,longest_chain_length,chain_tau_estimate,chain_tau_abs_error,interval_count,interval_tau_estimate,interval_tau_abs_error
200.0,2.0,2.0,100.0,2.0,26.0,1.697056274847714,0.30294372515228596,200.0,2.0,0.0
500.0,2.0,2.0,250.0,2.0,41.0,1.744133022449836,0.2558669775501641,500.0,2.0,0.0
1000.0,2.0,2.0,500.0,2.0,59.0,1.8024982662959763,0.19750173370402369,1000.0,2.0,0.0
2000.0,2.0,2.0,1000.0,2.0,92.0,2.0124611797498106,0.012461179749810647,2000.0,2.0,0.0
