N,repetition_count,pair_count,chain_pair_count,tau_volume_mae,tau_volume_rmse,tau_volume_bias,tau_volume_relative_rmse,tau_chain_mae,tau_chain_rmse,tau_chain_bias,tau_chain_relative_rmse
300.0,5.0,500.0,125.0,0.04666480423470278,0.05926179269870365,-0.010512246689563298,0.2725287236700811,0.13196638864654212,0.15706266473216707,-0.12922360575344397,0.3823960845253113
600.0,5.0,500.0,125.0,0.03169869458091539,0.0393635965842468,0.0006651979108927184,0.2691349301521591,0.11589900439110443,0.13273345118131857,-0.11419296323450576,0.3580024449281603
1200.0,5.0,500.0,125.0,0.022560390187161185,0.02891086348653173,-0.005710547365719053,0.177370072529556,0.08975840317155619,0.10314427917811804,-0.08865010184647212,0.3307069783638562
2400.0,5.0,500.0,125.0,0.01545883709378073,0.019794833554201748,-0.0028981737724981084,0.10463864938081788,0.06530622530123514,0.07870228310361732,-0.06327034521619879,0.2308555097271231
