profile,scale,causal_matrix_changed,relation_fraction,estimated_dimension,proper_time,full_diamond_volume,relation_fraction_ratio,estimated_dimension_ratio,proper_time_ratio,volume_ratio
constant_1,1.0,0.0,0.24627328329163192,2.0200036099553107,2.0,1.9999998807324815,1.0,1.0,1.0,1.0
constant_1.5,1.5,0.0,0.24627328329163192,2.0200036099553107,3.0,4.499999731648083,1.0,1.0,1.5,2.25
constant_2,2.0,0.0,0.24627328329163192,2.0200036099553107,4.0,7.999999522929926,1.0,1.0,2.0,4.0
sinusoidal_0.3,nan,0.0,0.24627328329163192,2.0200036099553107,2.0,2.0535242474651887,1.0,1.0,1.0,1.0267621849622832
