spacetime_dim,N,repetitions,mean_estimated_dim,std_estimated_dim,bias,rmse,mean_relation_fraction,expected_relation_fraction
2.0,300.0,5.0,1.9488816600441932,0.023911695594437,-0.051118339955806925,0.05541209280290956,0.2597703455964326,0.25
2.0,600.0,5.0,2.0307700372338298,0.021638849734335552,0.030770037233829584,0.03635088782452751,0.2443094045631608,0.25
2.0,1200.0,5.0,2.0079402216076847,0.024070090173671337,0.007940221607684973,0.022946514156927687,0.2485426744509313,0.25
2.0,2400.0,5.0,1.9929208937287328,0.021228471760337323,-0.007079106271267089,0.020264060704198564,0.2513520911490899,0.25
3.0,300.0,5.0,2.956818244993687,0.06740078573743703,-0.04318175500631307,0.07415495060914248,0.11847491638795986,0.11428571428571417
3.0,600.0,5.0,2.9532499409317965,0.06737655005213372,-0.046750059068203155,0.07627088317583997,0.11881636060100167,0.11428571428571417
3.0,1200.0,5.0,3.0008860928416254,0.04025368986403884,0.0008860928416253522,0.03601489689920212,0.11424951348345844,0.11428571428571417
3.0,2400.0,5.0,2.99703261166811,0.03798440332104855,-0.002967388331890053,0.03410362605408851,0.11460104904821453,0.11428571428571417
4.0,300.0,5.0,4.071376989901066,0.05979256292361472,0.07137698990106536,0.08918965832492198,0.04712820512820513,0.0499999999999999
4.0,600.0,5.0,3.9726535179018967,0.042685732974083186,-0.02734648209810304,0.046962618355130666,0.051189204229271,0.0499999999999999
4.0,1200.0,5.0,3.931284617960453,0.07585229420653297,-0.06871538203954701,0.09656427992770644,0.05305629691409508,0.0499999999999999
4.0,2400.0,5.0,3.9739390118718148,0.04684278019869769,-0.0260609881281856,0.04934138169541095,0.05113887730999027,0.0499999999999999
