target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
0.0,0.5478467492858172,-0.9614310827277825,1.0,0.0,0.0,0.0
1.0,0.42654310306871945,-0.028754748704047685,1.0,0.0,0.0,0.0
2.0,0.17449996586169148,-0.9120891105751812,1.0,0.0,0.0,0.0
3.0,1.2634142164861286,0.6350451960509667,1.0,0.0,0.0,0.0
4.0,1.4296171063502774,0.42605005572566523,1.0,0.0,0.0,0.0
5.0,-0.8011524378504609,0.10483453916822441,1.0,0.0,0.0,0.0
6.0,-0.3092511152093662,-1.320128594237088,1.0,0.0,0.0,0.0
7.0,-1.8867213154181481,0.0906211937696399,1.0,0.0,0.0,0.0
8.0,0.6824976587745213,-0.37902703657499165,1.0,0.0,0.0,0.0
9.0,0.4615404459250154,1.2805898633007229,1.0,1.0,1.0,1.0
10.0,-0.46528978295246626,0.5726012341947818,1.0,0.0,1.0,0.0
11.0,0.7421679379227788,0.14013264129254652,1.0,0.0,0.0,0.0
12.0,0.6018371050712652,0.7209177304449662,1.0,0.0,1.0,0.0
13.0,0.7537869222837603,0.6111497159568289,1.0,0.0,0.0,0.0
14.0,0.8859533607763268,0.5841682909921547,1.0,0.0,0.0,0.0
15.0,0.10141728990290355,-0.7546448216719618,1.0,0.0,0.0,0.0
16.0,-0.7590324977641774,0.16782939358898546,1.0,0.0,0.0,0.0
17.0,-0.05665856467284369,-0.4968999153489924,1.0,0.0,0.0,0.0
18.0,-0.5688192131637191,-1.3237740247087508,1.0,0.0,0.0,0.0
19.0,0.28611932291904374,1.3481963522006113,1.0,1.0,1.0,1.0
20.0,0.3772001207987872,0.6095533938735919,1.0,1.0,1.0,1.0
21.0,-0.648355097971467,0.28479647458693036,1.0,0.0,0.0,0.0
22.0,-0.4335239978873551,0.23895551923853087,1.0,0.0,0.0,0.0
23.0,0.49274857874416966,-0.6243751611150332,1.0,0.0,0.0,0.0
24.0,-1.0425222280281914,-0.04021720294404761,1.0,0.0,0.0,0.0
25.0,-1.7657278607792226,0.18004172593952625,1.0,0.0,0.0,0.0
26.0,-1.3988821324206437,0.5290095680732385,1.0,0.0,0.0,0.0
27.0,-0.1986425334028521,0.4777052347838002,1.0,1.0,1.0,1.0
28.0,-0.3817926407138872,-1.312761315323762,1.0,0.0,0.0,0.0
29.0,0.32132954394740265,-1.2628020000679345,1.0,0.0,0.0,0.0
