arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,900.0,random,840.0,0.0,100000.0,4793.0,2.040175155375767,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.03375,0.21875,0.10255061793321062,1.0
E,900.0,random,840.0,1.0,150000.0,4895.0,1.8990025727554993,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.0575,0.13625,0.20679700826663167,0.8625
E,900.0,random,840.0,2.0,200000.0,4865.0,1.9083640223004252,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.01375,0.19999999999999998,0.12352168199737187,1.0
E,900.0,random,840.0,3.0,250000.0,4797.0,1.821660364445254,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.0375,0.2725,0.11167844985598324,1.0
E,900.0,random,840.0,4.0,300000.0,4840.0,1.9444177582406859,0.9875016666666667,c43bdfe,ok,44.0,35.0,0.05375,0.18625,0.16782483283073293,0.9625
E,900.0,random,840.0,5.0,350000.0,4785.0,2.230675534374452,0.9875016666666667,c43bdfe,ok,44.0,40.0,0.02125,0.2525,0.177958327873149,1.0
E,900.0,random,840.0,6.0,400000.0,4777.0,1.5781471607256243,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.0525,0.235,0.1858604407135362,0.9750000000000001
E,900.0,random,840.0,7.0,450000.0,5068.0,1.2077421145120937,0.9875016666666667,c43bdfe,ok,44.0,35.0,0.04375,0.26875,0.11217906517445687,1.0
E,900.0,random,840.0,8.0,500000.0,5013.0,1.7193585566839538,0.9875016666666667,c43bdfe,ok,44.0,37.0,0.04125,0.21249999999999997,0.1512560831250822,1.0
E,900.0,random,840.0,9.0,550000.0,4721.0,2.3552845811406833,0.9875016666666667,c43bdfe,ok,44.0,39.0,0.03375,0.24375000000000002,0.12858828155721588,1.0
