arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,1200.0,bipartite,870.0,0.0,100000.0,6891.0,1.8833220142994058,0.9897233333333333,c43bdfe,ok,44.0,44.0,0.0725,0.2525,0.20291568163908588,0.7750000000000001
E,1200.0,bipartite,870.0,1.0,150000.0,6803.0,1.9091753714377937,0.9897233333333333,c43bdfe,ok,44.0,43.0,0.04875,0.15000000000000002,0.1290195044807591,1.0
E,1200.0,bipartite,870.0,2.0,200000.0,6896.0,1.993617363692291,0.9897233333333333,c43bdfe,ok,44.0,45.0,0.0375,0.29000000000000004,0.12005779587547616,1.0
E,1200.0,bipartite,870.0,3.0,250000.0,6934.0,1.8382704570337722,0.9897233333333333,c43bdfe,ok,44.0,42.0,0.0325,0.14125,0.14647591547447172,0.9124999999999999
E,1200.0,bipartite,870.0,4.0,300000.0,6790.0,2.046817111032869,0.9897233333333333,c43bdfe,ok,44.0,45.0,0.0325,0.21375,0.15204295442640126,1.0
E,1200.0,bipartite,870.0,5.0,350000.0,6967.0,1.8297509090350594,0.9897233333333333,c43bdfe,ok,44.0,43.0,0.035,0.1775,0.21292178917080826,0.9676955270729795
E,1200.0,bipartite,870.0,6.0,400000.0,6755.0,1.96815675028272,0.9897233333333333,c43bdfe,ok,44.0,45.0,0.04,0.19,0.23511630963332894,0.9122092259166776
E,1200.0,bipartite,870.0,7.0,450000.0,6819.0,1.8902170527984197,0.9897233333333333,c43bdfe,ok,44.0,42.0,0.0375,0.29500000000000004,0.1703490652372859,1.0
E,1200.0,bipartite,870.0,8.0,500000.0,6754.0,1.8222145229901656,0.9897233333333333,c43bdfe,ok,44.0,46.0,0.04125,0.27499999999999997,0.15342105263157896,1.0
E,1200.0,bipartite,870.0,9.0,550000.0,6815.0,2.0431106429207517,0.9897233333333333,c43bdfe,ok,44.0,43.0,0.04125,0.27,0.16579429468725465,1.0
