arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,600.0,bipartite,830.0,0.0,100000.0,3089.0,1.8142308589550318,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.04875,0.22249999999999998,0.16095263020151793,1.0
E,600.0,bipartite,830.0,1.0,150000.0,3010.0,2.1741191306273215,0.9748633333333333,c43bdfe,ok,44.0,27.0,0.0375,0.17124999999999999,0.1287649611995265,1.0
E,600.0,bipartite,830.0,2.0,200000.0,3111.0,1.5165276142571997,0.9748633333333333,c43bdfe,ok,44.0,26.0,0.04,0.23500000000000001,0.1292311729204933,1.0
E,600.0,bipartite,830.0,3.0,250000.0,3026.0,2.1338358737565386,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.04125,0.16374999999999998,0.14885796797059594,1.0
E,600.0,bipartite,830.0,4.0,300000.0,3058.0,1.917426379958762,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.025,0.27499999999999997,0.15953409239628322,1.0
E,600.0,bipartite,830.0,5.0,350000.0,2975.0,1.907291403060075,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.03125,0.21875,0.11813186813186813,1.0
E,600.0,bipartite,830.0,6.0,400000.0,2957.0,2.4255676839079463,0.9748633333333333,c43bdfe,ok,44.0,29.0,0.0225,0.16875,0.1206195038718992,1.0
E,600.0,bipartite,830.0,7.0,450000.0,2999.0,1.6442779022065999,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.04375,0.255,0.14027977513400444,1.0
E,600.0,bipartite,830.0,8.0,500000.0,2937.0,2.013331640075098,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.04625,0.14125,0.13574129612726563,0.9124999999999999
E,600.0,bipartite,830.0,9.0,550000.0,3107.0,1.945011164077311,0.9748633333333333,c43bdfe,ok,44.0,28.0,0.07125,0.23625000000000002,0.13712637650760356,0.7875000000000001
