arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,1200.0,random,860.0,0.0,100000.0,6833.0,2.208839908487704,0.9910383333333334,c43bdfe,ok,44.0,45.0,0.055,0.24,0.19829396325459317,0.95
E,1200.0,random,860.0,1.0,150000.0,6622.0,2.0092225538126876,0.9910383333333334,c43bdfe,ok,44.0,45.0,0.04375,0.33375,0.212113301135622,0.9697167471609451
E,1200.0,random,860.0,2.0,200000.0,6601.0,2.163053137162013,0.9910383333333334,c43bdfe,ok,44.0,45.0,0.03125,0.25125,0.20570452155625657,0.9857386961093586
E,1200.0,random,860.0,3.0,250000.0,6668.0,1.7107787599277486,0.9910383333333334,c43bdfe,ok,44.0,44.0,0.03375,0.24874999999999997,0.15891270256142184,1.0
E,1200.0,random,860.0,4.0,300000.0,6838.0,2.0326617788245223,0.9910383333333334,c43bdfe,ok,44.0,46.0,0.045,0.19124999999999998,0.19589797528267158,1.0
E,1200.0,random,860.0,5.0,350000.0,6756.0,2.0973001936717353,0.9910383333333334,c43bdfe,ok,44.0,47.0,0.03,0.2025,0.15566902330452997,1.0
E,1200.0,random,860.0,6.0,400000.0,6957.0,1.9675020108853616,0.9910383333333334,c43bdfe,ok,44.0,43.0,0.01875,0.26875,0.2214932423566461,0.9462668941083847
E,1200.0,random,860.0,7.0,450000.0,6646.0,1.7878200341072308,0.9910383333333334,c43bdfe,ok,44.0,46.0,0.03375,0.18875,0.2064033591392206,0.9839916021519486
E,1200.0,random,860.0,8.0,500000.0,6908.0,1.8552364197691418,0.9910383333333334,c43bdfe,ok,44.0,43.0,0.0225,0.21375,0.16727892941485176,1.0
E,1200.0,random,860.0,9.0,550000.0,6837.0,1.7863659379284975,0.9910383333333334,c43bdfe,ok,44.0,45.0,0.025,0.2825,0.13286348211955104,1.0
