arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,600.0,random,820.0,0.0,100000.0,3010.0,1.8262938720247526,0.9784366666666666,c43bdfe,ok,44.0,28.0,0.04,0.19624999999999998,0.11781760674749604,1.0
E,600.0,random,820.0,1.0,150000.0,2889.0,2.2515797994979536,0.9784366666666666,c43bdfe,ok,44.0,31.0,0.0225,0.23,0.13474431444721965,1.0
E,600.0,random,820.0,2.0,200000.0,2928.0,1.7341280793315903,0.9784366666666666,c43bdfe,ok,44.0,27.0,0.04375,0.1875,0.13881242626818718,1.0
E,600.0,random,820.0,3.0,250000.0,2973.0,1.7785189414040055,0.9784366666666666,c43bdfe,ok,44.0,27.0,0.04375,0.16625,0.16830386378519974,1.0
E,600.0,random,820.0,4.0,300000.0,3009.0,1.5358324377980566,0.9784366666666666,c43bdfe,ok,44.0,27.0,0.04375,0.10625,0.15340162857893355,0.5624999999999999
E,600.0,random,820.0,5.0,350000.0,3017.0,1.7375148090649226,0.9784366666666666,c43bdfe,ok,44.0,30.0,0.04125,0.20625,0.1484303165637725,1.0
E,600.0,random,820.0,6.0,400000.0,3027.0,2.1472747114816215,0.9784366666666666,c43bdfe,ok,44.0,28.0,0.0375,0.18,0.12946605141727094,1.0
E,600.0,random,820.0,7.0,450000.0,2969.0,1.6468175405703462,0.9784366666666666,c43bdfe,ok,44.0,28.0,0.0275,0.29,0.1322444678609062,1.0
E,600.0,random,820.0,8.0,500000.0,3112.0,1.7211831575984249,0.9784366666666666,c43bdfe,ok,44.0,27.0,0.02125,0.21125000000000002,0.18886262148673497,1.0
E,600.0,random,820.0,9.0,550000.0,2925.0,2.213326508838179,0.9784366666666666,c43bdfe,ok,44.0,29.0,0.045,0.23375,0.20256004222750065,0.9935998944312484
