n,seed,complete,y,median_coord_error,max_coord_error,box_order_certified,stage,code_version
600.0,620000.0,True,-0.7992156914464464,0.15877579960586663,0.20076847722057342,True,C,36385e1
600.0,620200.0,True,-0.48847904659122837,0.3247289089877035,0.46831202036158515,True,C,36385e1
600.0,620400.0,True,-0.690980637582521,0.20371328984276527,0.3062908668051788,True,C,36385e1
600.0,620600.0,True,-1.0727908091723275,0.08456860968796776,0.17005089149217473,True,C,36385e1
600.0,620800.0,True,-0.5474688451759864,0.2834856989291986,0.3439141280103478,True,C,36385e1
600.0,621000.0,True,-0.6719820127747121,0.21282271891914784,0.26057938759412286,True,C,36385e1
600.0,621200.0,True,-0.7195993194715153,0.19072195091563668,0.29773971566224317,True,C,36385e1
600.0,621400.0,True,-0.9588470329292201,0.10993929991148041,0.23200210047415815,True,C,36385e1
600.0,621600.0,True,-0.6964061750087136,0.2011841789607759,0.25354870270728447,True,C,36385e1
600.0,621800.0,True,-1.0798142091978402,0.08321196750438065,0.1770154634339617,True,C,36385e1
600.0,622000.0,True,-0.8414255944751965,0.14407028175891312,0.22141062006520276,True,C,36385e1
600.0,622200.0,True,-0.8131038587043198,0.15377868445918597,0.26950035545032586,True,C,36385e1
600.0,622400.0,True,-0.8263166150615163,0.14917065096175072,0.267342379601901,True,C,36385e1
600.0,622600.0,True,-0.761359297477307,0.1732370192325721,0.3898955663225841,True,C,36385e1
600.0,622800.0,True,-0.883887665349249,0.13065087861127322,0.1575516324264545,True,C,36385e1
600.0,623000.0,True,-0.9665279197417475,0.10801201803360894,0.2474834947254707,True,C,36385e1
1200.0,636000.0,True,-0.8586891743177864,0.13845569554388962,0.16747883458863547,True,C,36385e1
1200.0,636200.0,True,-0.8096047306000373,0.15502269027633653,0.2139541488757344,True,C,36385e1
1200.0,636400.0,True,-0.9917706090212154,0.10191295422413109,0.11594654176533438,True,C,36385e1
1200.0,636600.0,True,-1.0469463096961735,0.0897539747333749,0.1794416091457887,True,C,36385e1
1200.0,636800.0,True,-0.922609063825261,0.11950633732298188,0.16288977989665268,True,C,36385e1
1200.0,637000.0,True,-1.1965428835879834,0.06360000011182534,0.08095919915116793,True,C,36385e1
1200.0,637200.0,True,-0.947860871160677,0.11275586184812872,0.1740572876368366,True,C,36385e1
1200.0,637400.0,True,-1.0028817046419347,0.09933865953077545,0.16229976512734798,True,C,36385e1
1200.0,637600.0,True,-0.7855411700665994,0.1638546723655145,0.19400777914720713,True,C,36385e1
1200.0,637800.0,True,-1.0294829865863284,0.09343659711709551,0.18194282945976492,True,C,36385e1
1200.0,638000.0,True,-0.8453389721776535,0.14277791243525614,0.2029223093784677,True,C,36385e1
1200.0,638200.0,True,-0.8438802774094072,0.14325827670162183,0.18024977797987496,True,C,36385e1
1200.0,638400.0,True,-1.0313593029846004,0.09303378645653365,0.12051117111848232,True,C,36385e1
1200.0,638600.0,True,-1.0874342530424945,0.08176468104606999,0.18666797294490017,True,C,36385e1
1200.0,638800.0,True,-1.1000613599449958,0.0794216014800159,0.10174847660902175,True,C,36385e1
1200.0,639000.0,True,-0.8930425448876437,0.12792559779789311,0.1682926116271858,True,C,36385e1
2400.0,652000.0,True,-1.2281957327397761,0.05912950825709063,0.0982004763621443,True,C,36385e1
2400.0,652200.0,True,-0.985958899519184,0.10328591481935778,0.11954095611331086,True,C,36385e1
2400.0,652400.0,True,-1.138770998571499,0.07264889306371586,0.12119553682640904,True,C,36385e1
2400.0,652600.0,True,-1.304078227026687,0.04965028811190155,0.14481238132298918,True,C,36385e1
2400.0,652800.0,True,-1.0775591808460134,0.08364516056208385,0.09771337674456061,True,C,36385e1
2400.0,653000.0,True,-1.220468768303699,0.06019095468486621,0.1098369666573876,True,C,36385e1
2400.0,653200.0,True,-1.0233128590444729,0.09477354833057863,0.11089255607610805,True,C,36385e1
2400.0,653400.0,True,-0.9316043448843252,0.11705653250237047,0.22050292229819388,True,C,36385e1
2400.0,653600.0,True,-0.981030845196698,0.10446460219706136,0.15188434677605325,True,C,36385e1
2400.0,653800.0,True,-1.0234634140935606,0.09474069927566964,0.11039760883013915,True,C,36385e1
2400.0,654000.0,True,-0.8097706262280266,0.15496348465356727,0.20391520998202756,False,C,36385e1
2400.0,654200.0,True,-1.169360706835314,0.06770789205750835,0.1476439464871747,True,C,36385e1
2400.0,654400.0,True,-1.2967814999073966,0.050491526414238416,0.11597068342186723,True,C,36385e1
2400.0,654600.0,True,-1.1834767034492706,0.06554254434124919,0.114629745423655,True,C,36385e1
2400.0,654800.0,True,-0.9054441035024521,0.12432426388842893,0.16890357668723316,True,C,36385e1
2400.0,655000.0,True,-0.9526782354183048,0.11151204095395942,0.15240017299083042,True,C,36385e1
